"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"01-0575520"|"Merck Patient Assistance Program, inc"|"78621"|"1545065"|"VARIOUS PATIENTS WITH MEDICAL AND FINANCIAL NEEDS"|"686800564.0000"
"04-3414102"|"PROMOTION OF SCHOLARSHIP"|"78622"|"1545071"|"THE PUTNAM PRIZE FUND PROVIDES FUNDS FOR MATHEMATICS COMPETITION UNDER THE SUPERVISION OF THE MATHEMATICS ASSN OF AMERICA AND AWARDS PRIZES TO INDIVIDUALS & THEIR SCHOOLS"|""
"04-3414102"|"PROMOTION OF SCHOLARSHIP"|"78623"|"1545071"|"THE FUND ALSO MAKES CONTRIBUTIONS TO VARIOUS COLLEGES AND OTHER EDUCATIONAL INSTITUTIONS AS SELECTED BY ITS TRUSTEES AND APPROVAL OF THE COMMISSIONER."|""
"04-6002496"|"EDWARDS SCHOLARSHIP FUND"|"78812"|"1547145"|"GRANTED 97 SCHOLARSHIPS TO COLLEGE STUDENTS"|"0.0000"
"04-3619796"|"The J. Freunard Kim Foundation"|"78837"|"1547307"|"Support And Contribution to Hope Worldwide, a Public Charity Under IRC Sec. 501 (c) (3), For An Educational Project in Cambodia Providing Free Education to Needy Cambodians."|"50000.0000"
"01-0226346"|"Deborah Lincoln House"|"78974"|"1554933"|"Operation of state-licensed boarding facility for elderly women"|"576376.0000"
"04-2131745"|"CLINTON HOME FOUNDATION INC"|"78975"|"1554934"|"ADMINISTER AN ENDOWMENT FUND TO PROVIDE FINANCIAL RESOURCES FOR ELDERCARE TO THE ELDERLY AND THE INDIGENT"|"57721.0000"
"03-0346513"|"The Orton Family Foundation, Inc."|"79004"|"1554972"|"See attached description of "" Project Activities""."|"1541418.0000"
"03-0346513"|"The Orton Family Foundation, Inc."|"79005"|"1554972"|"See attached description of "" Communication Activities"""|"848198.0000"
"04-3487843"|"PEPPERCORN FOUNDATION"|"79006"|"1554975"|"Grantmakers for Children, Youth and Families (GCYF), Board member a) Consultant continues to represent the Peppercorn foundation on the Board of Directors of GCYF - a funder network that engages funders across all sectors to continually improve their grantmaking on behalf of children, youth, and families. Consultant services on the Program and Ad Hoc Strategic Planning Advisory Committees."|"28000.0000"
"04-3487843"|"PEPPERCORN FOUNDATION"|"79007"|"1554975"|"Grantmakers for Education (GFE), Advisory Committee Member Consultant served on an advisory committee for GFE's May 2013 multi-day early learning member briefing entitled The First Eight Years: Dramatically Improving Outcomes for Kids of Color, Poverty, and ELLs. In addition to advising on learning/meeting outcomes and curriculum, the committee advised on the briefing's overall design, helped recruit speakers and did outreach to encourage participation as well as follow-up activities."|"4000.0000"
"04-6030253"|"Walter S. Quinland Foundation"|"79035"|"1555195"|"THE FOUNDATION'S PURPOSE IS TO OPERATE EXCLUSIVELY FOR CHARITABLE, SCIENTIFIC, LITERARY OR EDUCATIONAL PURPOSES PER CODE SEC. 170(C)(2). ITS PRINCIPAL ACTIVITY IS TO SUPPORT, FINANCIALLY, CHARITABLE ORGANIZATIONS AND EDUCATIONAL ORGANIZATIONS."|"459000.0000"
"04-6039510"|"FOUNDATION, INC"|"79036"|"1555196"|"STARWOOD CARES VOLUNTEER PROGRAM - 8 ORGANIZATIONS SUPPORTED WITH EMPLOYEE VOLUNTEERS"|"32255.0000"
"04-6173271"|"Clinton O & Lura Jones Memorial Trust"|"79037"|"1555197"|"College Scholarships to Individuals and Universities"|"36000.0000"
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"79259"|"1558449"|"DEVELOP AND OOPERATE LOW-INCOME HOUSING IN BREWER, ME"|"788521.0000"
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"79260"|"1558449"|"PROVIDE RENT SUBSIDIES TO LOW-INCOME ELDERLY HOUSEHOLDS IN BREWER, MAINE"|"199278.0000"
"03-0300865"|"Ben & Jerry's Foundation, Inc."|"79273"|"1558527"|"Not Applicable - Non-Operating Private Foundation"|""
"03-0503425"|"Illinois Children's Healthcare Foundation"|"79274"|"1558529"|"The Tllinois Children's Healthcare Foundation works to ensure that every child in Illinois has access to affordable and quality health care by making grants to other not-for-profit organizations that conduct programs designed to address a variety of access issues. Grantmaking is focused in two specific areas: improving the oral health of underserved children and addressing the mental health needs of children. In addition, the Foundation monitors other emerging health issues that the Board of"|"0.0000"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"79275"|"1558530"|"SUPPORT OF CHARITABLE ORGANIZATIONS IN THE WESTMINSTER TOWNSHIP OR SURROUNDING AREA WHICH BENEFIT THE CITIZENS OF WESTMINSTER"|"93727.0000"
"04-2105936"|"MASON-WRIGHT FOUNDATION, INC."|"79276"|"1558531"|"THE FOUNDATION PROVIDES HOUSING AND DAILY LIVING SERVICES FOR SENIORS."|"298562.0000"
"04-6049529"|"THE GRASS FOUNDATION"|"79279"|"1558542"|"TO ENCOURAGE INDEPENDENT RESEARCH AT THE MARINE BIOLOGY LAB BY INVESTIGATORS EARLY IN THEIR CAREER AND INCREASE RESEARCH IN NEUROBIOLOGY. AWARDED FELLOWSHIPS VARY ANNUALLY."|"517002.0000"
"01-0679061"|"SMF FOUNDATION"|"79602"|"1566018"|"(a) IMCIIIIU d111.1dUUlebb lll Cd1;11 pel SU!! pdIU IllUIU lildll 40U,Utill (D) I Yin 01 service (C) UOIIIPUll5c11.1011 NONE otal number of others receiving over $50,000 for professional services Part IX-A Summary of Direct Charitable Activities _ist the foundation's four largest direct charitable activities during the tax year. Include relevant statistical information such as the -lumber of organizations and other beneficiaries served, conferences convened, research papers produced, etc. Expens"|""
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"79782"|"1567183"|"THE SMA FOUNDATION MAINTAINS AN ACTIVE AN ACTIVE RESEARCH PROGRAM IN SPINAL MUSCULAR ATROPHY IN ORDER TO ACCOMPLISH ITS PRIMARY MISSION: TO ACCELERATE THE DEVELOPMENT OF A TREATMENT FOR SMA. THESE STUDIES ARE CONDUCTED THROUGH CONTRACT SERVICES WITH INDUSTRY AND ACADEMIC PARTNERS. FOUNDATION STAFF ANALYZE THE RESULTS, PUBLISH THE FINDINGS IN SCIENTIFIC JOURNALS AND PRESENT THEM AT SCIENTIFIC CONFERENCES."|"572541.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"79783"|"1567183"|"FOR PATIENTS AND THEIR FAMILIES, SMA FOUNDATION PROVIDES GENERAL MATERIALS ON SMA AND SMA BIOLOGY, DOCUMENTS DESCRIBING STANDARDS OF CARE, MATERIALS RELATED TO THE CURRENT STATE OF THERAPEUTICS. MOST OF THESE MATERIALS ARE PREPARED BY THE FOUNDATION'S STAFF. FOR RESEARCH SCIENTISTS, THE FOUNDATION PREPARES SUMMARIES OF RESEARCH FINDING AND USEFUL TOOLS FOR SMA RESEARCHERS,"|"314466.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"79784"|"1567183"|"THE SMA FOUNDATION MAINTAINS A WEBSITE WITH GENERAL INFORMATION ABOUT THE FOUNDATION'S RESEARCH PROGRAM AND EDUCATIONAL MATERIALS TARGETED TO BOTH PATIENTS AND THEIR FAMILIES AND TO RESEARCHERS. THE FOUNDATION WEBSITE IS CONSTANTLY UPDATED BY THE STAFF. FOR FURTHER INFORMATION, SEE WWW. SMAFOUNDATION.ORG"|"16302.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"79785"|"1567184"|"Cerezyme prescription drugs for the treatment of Gaucher disease supplied to ill, needy, or infant patients."|"41071056.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"79786"|"1567184"|"Fabrazyme prescription drugs for the treatment of Fabry disease supplied to ill, needy, or infant patients."|"18506490.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"79787"|"1567184"|"Myozyme prescription drugs for the treatment of Pompe disease supplied to ill, needy, or infant patients."|"12399350.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"79788"|"1567184"|"Aldurazyme prescription drugs for the treatment of MPS I disease supplied to ill, needy, or infant patients."|"6003925.0000"
"01-0446023"|"The Bank of Maine Charitable Foundation"|"79815"|"1567758"|"Provides community enhancement grants to approximately 250 communities within the state of Maine focusing on education, social services, and the environment."|"164065.0000"
"03-0518473"|"THE LESSING FAMILY FOUNDATION STEPHEN&SANDRA LESSING, TTEES; U/A/D 5/19/03"|"79816"|"1567817"|"PLEASE NOTE, THE FOUNDATION IS NOT INVOLVED IN ANY DIRECT CHARITABLE ACTIVITIES. ITS PRIMARY PURPSOE IS TO SUPPORT, BY CONTRIBUTIONS, OTHER CHARITABLE ORGANIZATIONS EXEMPT UNDER INTERNAL REVENUE CODE SECTION 501(C)(3)."|""
"04-3134531"|"REAL COLEGIO COMPLUTENSE, INC"|"79994"|"1572523"|"FELLOWSHIPS AND GRANTS TO FACULTY AND STUDENTS TO STUDY AND DO RESEARCH IN THEIR RESPECTIVE FIELDS OF STUDY AT HARVARD UNIVERSITY"|"72700.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE, INC"|"79995"|"1572523"|"CONTRIBUTION TO HARVARD UNIVERSITY PROGRAMS"|"62495.0000"
"04-6028058"|"AMERICAN OPTICAL FOUNDATION"|"80252"|"1574323"|"CHARITABLE ACTIVITIES ARE LIMITED TO SELECTION OF ORGANIZATIONS AND INDIVIDUALS FOR SCHOLARSHIPS OR EDUCATIONAL AWARDS. EXPENSES ARE MINIMAL."|""
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"80253"|"1574324"|"TO SUPPORT LAND CONSERVATION AND HISTORICAL HOUSE PRESERVATION."|"386050.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"80254"|"1574324"|"DIRECT & INDIRECT OPERATING AND ADMIN EXPENSES FOR CHARITABLE ACTIVITY"|"211626.0000"
"02-6040429"|"BJB Charltable Account"|"80406"|"1575133"|"The making of direct contributions to other charitable entities ad described and identified Barbara J. Brown Revocable Trust. The ongoing oversight of qrants made. See Part XV"|""
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"80437"|"1575708"|"CAPE COD HEALTHCARE FOUNDATION INC. RENOVATION"|"50000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"80438"|"1575708"|"GOSNOLD, INC. GOSNOLD YOUNG ADULT OPIATE RECOVERY PROGRAM"|"25000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"80439"|"1575708"|"FALMOUTH PREVENTION PARTNERSHIP SUBSTANCE ABUSE PREVENTION"|"25000.0000"
"04-6039660"|"EDWARD BANGS KELLEY AND ELZA KELLEY FND, INC."|"80440"|"1575708"|"BIG BROTHERS BIG SISTERS OF CAPE COD & THE ISLANDS OPERATING SUPPORT"|"20000.0000"
"04-3333757"|"BERT L & N KUGGIE VALLEE FOUNDATION, INC"|"80450"|"1577838"|"The organization directly serves the advancement of scientific education by (i) organizing and arranging short-term visiting professorships of distinguished scientists at universities in the United States and abroad, (ii) organizing and overseeing research by distinguished scientists and other scholars on biomedical research projects of specific interest to the organization, and (iii) organizing and conducting seminars and symposia. The purpose of the visiting professorships and the seminars and"|"430806.0000"
"04-2178056"|"LUCRETIA PRENTISS BAILEY TRUST OF MASSACHUSETTS"|"80461"|"1575794"|"ALL ASSETS ARE USED TO OPERATE BERRYBROOK SCHOOL. THE TRUST OWNS THE PROPERTY ON WHICH THE SCHOOL IS LOCATED."|"168750.0000"
"04-3581030"|"Gray Lady Foundation, Inc"|"80464"|"1575797"|"Grants to 5 different research projects for canine health"|"50830.0000"
"02-6115326"|"The Bagan Foundation"|"80649"|"1576401"|"See Statement 5"|"20400.0000"
"02-6115326"|"The Bagan Foundation"|"80650"|"1576401"|"THE FOUNDATION'S PURPOSE IS TO OPERATE EXCLUSIVELY FOR CHARITABLE RELIGIOUS SCIENTIFIC, LITERARY OR EDUCATION PURPOSES PER CODE SEC. 170(C)(2). PRINCIPAL ACTIVITY IS TO SUPPORT FINANCIALLY, CHARITABLE ORGANIZATION PRIMARILY LOCAL TO CONCORD, NH AND SURROUNDING COMMUNITIES."|""
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"80886"|"1577995"|"DANA FARBER CANCER INST."|"60000.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"80887"|"1577995"|"COMBINED JEWISH PHILANTHROPIES"|"52000.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"80888"|"1577995"|"BOYS & GIRLS CLUB OF BOSTON"|"1000.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"80889"|"1577995"|"JOHN F. KENNEDY LIBRARY"|"1000.0000"
"04-6026648"|"THE STARE FUND"|"80943"|"1580286"|"THE STARE FUND MAKES GRANTS TO VARIOUS CHARITABLE ENTITIES THAT HAVE BEEN PRE-SELECTED BY THE TRUSTEES"|"0.0000"
"02-6123968"|"Roger R. & Theresa Thompson Endowment f/b/o Local Charities"|"80947"|"1578768"|"Distributions and administrative expenses"|"93195.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"81203"|"1580566"|"HARVARD FORESTRY MANAGEMENT LONG TERM STRATEGIC PLAN."|"1120.0000"
"04-6691795"|"ROGER K. BERLE CHARITABLE TRUST"|"81204"|"1580610"|"DIRECT CONTRIBUTION TO CHARITABLE ORGANIZATIONS"|"82500.0000"
"04-2103762"|"CONCORD'S HOME FOR THE AGED INC"|"81352"|"1582578"|"MAINTAINED AND OPERATED A HOME FOR THE ELDERLY"|"0.0000"
"01-0391038"|"Rosscare"|"81382"|"1585545"|"SYLVIA ROSS LEGACY PROGRAM - Assistance to qualified applicants to reduce the cost of residency at the Sylvia Ross Home, assisted living apartments located on the campus of ross Manor in Bangor."|"183457.0000"
"01-0391038"|"Rosscare"|"81383"|"1585545"|"CONTINUING CARE INFO CENTER - Resource for anyone who has questions about available hospital and community health programs"|"464612.0000"
"01-0391038"|"Rosscare"|"81384"|"1585545"|"LIVESAFE - Home health care monitors worn by participants which signals help when activated"|"280072.0000"
"01-0391038"|"Rosscare"|"81385"|"1585545"|"DIRIGO PINES INN - Specialized elderly housing and assisted living Also see attached publication."|"5504904.0000"
"01-0744075"|"Networks, Electronic Commerce and Telecommunications Institute"|"81406"|"1584774"|"In 2013, the NET Institute funded XX rrsearches (see attachment B). The funded research added to the cutting edge knowledge and understanding of the economics of network industries, telecommunications, electronic commerce and f virtual networks. The NET Institute sponsored a conference at Berkeley, Calif. o 6/20/13 where the funded research will be presented."|"94117.0000"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"81407"|"1584778"|"Beaverbrook"|"10000.0000"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"81408"|"1584778"|"Home Heath Hospice"|"10000.0000"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"81409"|"1584778"|"Harbor Homes"|"10000.0000"
"02-0268498"|"GOULDER FAMILY FOUNDATION"|"81410"|"1584778"|"Humane Society of Nashua"|"5000.0000"
"04-3196041"|"FIELDS POND FOUNDATION, INC."|"81549"|"1585566"|"GRANT MAKING ONLY"|"0.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"81551"|"1585569"|"PUBLICATION COSTS OF SCIENTIFIC JOURNAL AND BOOKS INCLUDING CHELONIAN CONSERVATION & BIOLOGY JOURNAL"|"12610.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"81552"|"1585569"|"SCIENTIFIC RESEARCH OF FOUNDATION INCLUDING TRAVEL TO SCIENTIFIC CONFERENCES."|"10912.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"81553"|"1585569"|"PROGRAM FUNDING THROUGH CHELONIAN RESEARCH FOUNDATION - FUNDING MARINE TURTLE SPECIALIST GROUP, TORTOISE AND FRESHWATER TURLTE SPECIALIST GROUP, TURTLE CONSERVATION FUND, AND EASTERN BOX TURTLE CONSERVATION TRUST PROGRAMS"|"129091.0000"
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION, INC."|"81681"|"1586421"|"THE BARBARA LEE FAMILY FOUNDATION WORKED WITH A BIPARTISAN RESEARCH TEAM, LED BY LAKE RESEARCH PARTNERS AND CHESAPEAKE BEACH CONSULTING, TO PREPARE AND PUBLISH A RESEARCH REPORT FOCUSING SPECIFICALLY ON HOW VOTERS PERCEIVE NEGATIVE ADS BY WOMEN CANDIDATES. IN THIS STUDY, WE FOCUSED ON THE IMPACT ON THE CANDIDATE, BECAUSE WE KNOW THIS FACTOR CAN BE UNIQUE AND GREATER FOR WOMEN CANDIDATES."|"153904.0000"
"04-6183682"|"SPERO CHARITABLE FOUNDATION"|"81682"|"1586425"|"CHARITABLE DONATIONS TO VARIOUS ORGANIZATIONS (LIST ATTACHED)"|"228042.0000"
"04-2610674"|"LOTTA AGRICULTURAL FUND"|"81797"|"1589894"|"UNIVERSITY OF MASSACHUSETTS SCHOOL OF AGRICULTURE"|"120000.0000"
"04-3494831"|"EOS Foundation"|"81958"|"1592754"|"1"|""
"02-0241739"|"Scott-Farrar Home"|"81959"|"1592777"|"Operation of a non-profit retirement home offering private facilities for self-ambulatory individuals."|"969622.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"81960"|"1592781"|"Fidelity Charitable Gift Fund Donor-advised fund"|"495000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"81961"|"1592781"|"Hebei Province Youth Development Foundation Funding to support the expansion of the school in Xingtai"|"79000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"81962"|"1592781"|"The Lambton College Foundation Funding for new facility"|"20000.0000"
"04-6035227"|"CABOT CORPORATION FOUNDATION"|"81963"|"1592781"|"Verein Friedeck Association To provide funding to the Verein Friedeck Association's school"|"15000.0000"
"01-0471533"|"Maine Education Services"|"81975"|"1592893"|"To assist and promote access to the financing of education for Maine students, by the administration, coordination and marketing of all related activities, including student and parent loans and to assist and work in conjunction with any and all entities similarly engaged."|"913141.0000"
"01-0471533"|"Maine Education Services"|"81976"|"1592893"|"Provide guidance on financial aid products available, including the production and distribution of the ""College Road Map""; and scholarship administration on behalf of other entities."|"201070.0000"
"01-0471533"|"Maine Education Services"|"81977"|"1592893"|"Scholarship awards"|"49250.0000"
"01-0471533"|"Maine Education Services"|"81978"|"1592893"|"Federal Direct Loan Servicing (not for profit program)"|"2320599.0000"
"01-0535144"|"Maine Health Access Foundation, Inc."|"81979"|"1592895"|"The Maine Health Access Foundation (MeHAF) is the state's largest private, 501(c)(3) nonprofit health care foundation with a mission to promote access to quality health care, especially for those who are uninsured and underserved, and improve the health of everyone in Maine. MeHAF is a mission-driven organization that uses its human and fiscal resources to ensure that people have access to high quality, affordable health care for the benefit of preserving or achieving better health."|"2060052.0000"
"04-2763837"|"THE FLATLEY FOUNDATION"|"81980"|"1592907"|"THE FLATLEY DISCOVERY LAB IS A BRANCH OF THE FLATLEY FOUNDATION, CREATED TO CARRY OUT CHARITABLE ACTIVITIES OF THE FLATLEY FOUNDATION. THE FLATLEY DISCOVERY L AB CONDUCTS IN-HOUSE RESEARCH FOR THE PURPOSE OF DISCOVERING A CURE FOR CYSTIC FIBROSIS."|"6535837.0000"
"04-3476677"|"NEIGHBORHOOD PARTNERS FUND INC"|"82038"|"1595272"|"NPF CAPACITY BUILDING GRANTS - USED TO HELP COMMUNITY BASED NON-PROFIT ORGANIZATIONS BUILD THEIR WORK CAPACITY"|"390000.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"82389"|"1599552"|"BOYS HIGH SCHOOL ATHLETIC INJURIES"|"28983.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"82390"|"1599552"|"GIRLS HIGH SCHOOL ATHLETIC INJURIES"|"33394.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"82391"|"1599552"|"VARIOUS SCHOLARSHIP AWARDS"|"4000.0000"
"04-6707573"|"JAMES N ABBPTT JR TRUST UW ARTICLE 4"|"82409"|"1600884"|"SCHOLARSHIPS AWARDED TO AREA STUDENTS IN THE AMOUNT OF 3500 EACH"|"33000.0000"
"02-0562020"|"JOHN & AMY GRIFFIN FOUNDATION"|"82428"|"1604527"|"THE FOUNDATION IS NOT INVOLVED IN ANY DIRECT CHARITABLE ACTIVITIES. ITS PRIMARY PURPOSE IS TO SUPPORT, BY GRANTS AND DISTRIBUTIONS, OTHER ORGANIZATIONS EXEMPT AS PUBLIC CHARITIES UNDER IRC SECTION 501(C) (3)."|"8707813.0000"
"01-0739379"|"Douglas E Mitchell Charitable Foundation"|"82502"|"1604728"|"THE FOUNDATION'S LARGEST CHARITABLE ACTIVITY INVOLVES MAKING GIFTS, GRANTS, CONTRIBUTIONS AND SCHOLARSHIPS TO VARIOUS CHARITABLE ORGANIZATIONS AND EDUCATIONAL INSTITUTIONS"|"40000.0000"
"03-6016085"|"IVAN W AND BERNICK K BURNHAM EDUCATIONAL"|"82504"|"1604785"|"FOUNDATION PROVIDES GRANTS TO LOCAL SCHOOLS FOR USE IN APPROVED ACADEMIC PROGTRAMS"|"17000.0000"
"04-2104317"|"WINCHESTER MOUNT VERNON HOUSE"|"82508"|"1604793"|"WINCHESTER MOUNT VERNON HOUSE OPERATES A HOM E FOR AND TO ASSIST THE AGED PEOPLE OF WINCHESTER, MASSACHUSETTS"|"1121896.0000"
"04-3339819"|"MURIEL & NORMAN B LEVENTHAL FAMILY FOUNDATION INC"|"82509"|"1604826"|"GRANTS RANGINF FROM 2001 TO 165,000 TO FIFTY-EIGHT CHARITABLE ORGANIZATIONS TO SUPPORT THEIR ACTIVITIES"|"1110152.0000"
"04-3397818"|"TURNING LEAF FOUNDATION INC"|"82510"|"1604828"|"TO PROVIDE OPPORTUNITIES FOR POST SECONDARY EDUCATION TO STUDENTS FOR WHOM SUCH EDUCATION WOULD NOT OTHERWISE BE AVILABLE"|"42500.0000"
"04-3397818"|"TURNING LEAF FOUNDATION INC"|"82511"|"1604828"|"GRANTS TO 501(C)(3) OR EQUIVALENT ORGANIZATIONS"|"90508.0000"
"04-6635075"|"F LEO MURRAY & IRENE D MURRAY SCHOLARSHIP FUND"|"82514"|"1604862"|"AWARDED 10 SCHOLARHSIPS TO QUALIFIED YOUNG MEN & WOMEN OF WINCHENDON, MA"|""
"04-3600502"|"SEEDLINGS FOUNDATION"|"82977"|"1609948"|"SEEDLINGS TEACHER COLLAORATIVE IS A ONE WEEK WORKSHOP OFFERED IN THE SUMMER WHOSE GOAL IS TO (A) PROMOTE COLLABORATION AMONG PUBLIC AND PRIVATE SCHOOL TEACHERS, (B) CAPTURE THE CREATIVITY OF PROJECT-BASED LEANING, AND (C) MAKE AVAILABLE A BROAD AND EXCITING ARRAY OF RESOURCES ON NEW HAVEN, CT THE GOAL IS TO PROVIDE THE THEORETICAL FRAMEWORK AND THE PRACTICAL KNOW-HOW TO DESIGN AND IMPLEMENT CURRICULAR UNITS TO STUDY NEW HAVEN."|"202156.0000"
"04-3600502"|"SEEDLINGS FOUNDATION"|"82978"|"1609948"|"DYSLEXIA PROGRAM IS TO EDUCATE PEOPLE ABOUT DYSLEXIA TO MAKE THEM AWARE OF THE SIGNS OF A DYSLEXI PERSON AND THAT THERE IS HELP AVAILABLE"|"776369.0000"
"04-6660300"|"FRANCIS H LEBLANC CHARITABLE TRUST"|"82979"|"1609951"|"Levi Heywood Memorial Library Association, Gardner, MA Our Lady of the Holy Rosary School, Gardner, MA"|"27162.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"83059"|"1610939"|"The Young Men's Christian Association Auburn-Lewiston's stated mission ""is that of a character-building organization dedicated to building strong kids, strong families and strong communities that promote a healthy spirit, mind and body for everyone Every day the Auburn-Lewiston YMCA promotes healthy lifestyles and the development of children, teens and adults"|"6000.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"83060"|"1610939"|"Central Maine Adaptive Sports offers instruction to physically and mentally challenged children and adults in alpine sking, cross country skiing, snowshoeing, snowboarding, and bi-skiing Their mission is to provide their students the opportunity to participate in outdoor recreation activities and to enhance their ability with independence skiing with one on one support and adaptive equipment They focus on abilities, not disabilities"|"5000.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"83061"|"1610939"|"Maine Adaptive Sports & Recreation promotes year-round education and training for individuals with physical disabilities in order to develop skills and provide enjoyment through active recreation In 2013, the Maine Orthopaedic Foundation's $5000 donation was used to directly provide thousands of individeual lessons to children and adults with physical disabilities"|"5000.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"83062"|"1610939"|"The Pine Tree Society for Handicapped Children & Adults provides Maine children and adults with disabilities the opportunities and the means to create better lives for themselves and their families They offer a full range of comprehensive and professional services designed to help people with disabilities lead active, more socially connected lives"|"5000.0000"
"04-6854624"|"SCOTT A NATHAN CHARITABLE TR"|"83070"|"1611073"|"THE SCOTT A NATHAN CHARITABLE TR IS A PRIVATE FOUNDATION WHICH RECEIVES INVESTMENT INCOME & DISTRIBUTES SUCH INCOME & DONATIONS RECEIVED TO VARIOUS PUBLIC CHARITIES"|"0.0000"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"83392"|"1617643"|"EDUCATIONAL"|"7300.0000"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"83393"|"1617643"|"LAND CONSERVATION"|"3000.0000"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"83394"|"1617643"|"HEALTH CARE"|"14151.0000"
"04-2607210"|"LOTTA THEATRICAL FUND"|"83398"|"1617712"|"SEE ATTACHED LIST OF DISTRIBUTIONS"|"18801.0000"
"01-0490113"|"MAINE STATE TROOPERS FOUNDATION"|"83749"|"1621630"|"PROVIDE SUPPORT OF ACTIVITIES DESIGNED TO PREVENT OR MITIGATE THE EFFECTS OF DOMESTIC VIOLENCE CHILD ABUSE SUBSTANCE ABUSE AND JUVENILE DELINQUENCY"|"0.0000"
"03-0443725"|"BUECHEL PATIENT CARE, RESEARCH AND EDUCATION FUND, INC."|"83753"|"1621706"|"EXPENSES INCURRED IN SUPPORTING THE CHARITABLE PURPOSES, PROGRAMS AND SERVICES FOR GRANTS IN THE AREAS OF RESEARCH, EDUCATION AND PATIENT CARE THESE ARE PROVIDED TO ALL INDIVIDUALS IN A NON-DISCRIMINATORY MANNER REGARDLESS OF RACE, CREED, COLOR, SEX, RELIGION OR ABILITY TO PAY"|""
"04-2104861"|"SHAW FUND FOR MARINERS' CHILDREN"|"84176"|"1630698"|"TO PROVIDE ASSISTANCE TO NEEDY MARINERS, THEIR WIDOWS AND CHILDREN, IN THE COMMONWEALTH OF MASSACHUSETTS AND ELSEWHERE"|"246967.0000"
"02-6019759"|"ACA SCHOLARSHIP TRUST"|"84266"|"1632111"|"GRANTS COLLEGE SCHOLARSHIPS"|"32500.0000"
"04-2104439"|"ENDOWMENT FOR BIBLICAL RESEARCH"|"84279"|"1632165"|"NEW TESTAMENT LANGUAGE (LEXICON) PROJECT - DEVELOPMENT OF A LEXICON IN COMPUTER SOFTWARE FORMAT TO FACILITATE THE STUDY OF NEW TESTAMENT WRITINGS"|"206300.0000"
"04-2104834"|"PILGRIM FOUNDATION"|"84280"|"1632166"|"SEC 501C3 ORGANIZATIONS DONATIONS"|""
"04-2104834"|"PILGRIM FOUNDATION"|"84281"|"1632166"|"SCHOLARSHIPS TO BROCKTON RESIDENTS"|""
"04-2104834"|"PILGRIM FOUNDATION"|"84282"|"1632166"|"DIRECT AID TO INDIVIDUALS OF BROCKTON MA"|""
