"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150041"|"1326302"|"MARKET VALUE ADJUSTMENTS"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"150042"|"1326302"|"INVESTMENT IN SUBSIDIARY"|"F"
"01-0564933"|"AUSTIN HINDU TEMPLE AND COMMUNITY CENTER"|"150224"|"1327146"|"MAIN TEMPLE CONSTRUCTION COSTS"|"COST"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"151451"|"1337734"|"INTEREST IN INVESTMENT LLC'S"|"END OF YEAR MARKET VALUE"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"152033"|"1341667"|"CERTIFICATES OF DEPOSIT"|"F"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"152034"|"1341667"|"INVESTMENT IN MOM CAP, LLC"|"F"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"152035"|"1341667"|"INVESTMENT IN WHP, LLC"|"F"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"152036"|"1341671"|"RETIREMENT TRUST"|"F"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"153024"|"1346480"|"US TREASURY NOTES & INDEXED STOCK FUNDS"|"F"
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"153025"|"1346484"|"FIDELITY MONEY MARKET ACCOUNT"|"C"
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"153026"|"1346484"|"FIDELITY ACCOUNT INVESTMENTS"|"C"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"153370"|"1349302"|"Closely-held equity interests"|"C"
"01-0867393"|"CR JRS CHIP"|"153371"|"1349329"|"CASH AND CASH EQUIVALENTS"|"F"
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"154294"|"1356059"|"BENEFICIALINTEREST IN TRUSTS"|"F"
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"155665"|"1366913"|"Closely-held equity interests"|"C"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"156971"|"1373666"|"PARTNERSHIP INVESTMENTS"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"156972"|"1373666"|"STANDISH FIXED INCOME FUND"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"156973"|"1373666"|"CASH EQUIVALENTS"|"C"
"01-0353275"|"Martin's Point Health Care Inc"|"157279"|"1376076"|"Alternative Investments"|"F"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"158265"|"1380286"|"INVESTMENT IN AFFILIATES"|"COST"
"01-0391479"|"Maine Community Foundation Inc"|"158684"|"1383881"|"Emerging Markets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"158685"|"1383881"|"Marketable Alternatives"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"158686"|"1383881"|"Private Equity & Venture Capital"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"158687"|"1383881"|"Real Assets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"158688"|"1383881"|"Less allocable share of investments to supporting organizations"|"F"
"01-0390443"|"Davis Family Foundation"|"158834"|"1384451"|"Limited Partnership and Fund of Funds Interests"|"F"
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"158950"|"1384956"|"BENEFICIAL TRUST"|"F"
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"159080"|"1385555"|"Financial derivatives and other financial products"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"159081"|"1385555"|"Closely-held equity interests"|""
"01-0211513"|"THE JACKSON LABORATORY"|"159845"|"1389872"|"US EQUITY"|"F"
"01-0211513"|"THE JACKSON LABORATORY"|"159846"|"1389872"|"INTERNATIONAL EQUITY"|"F"
"01-0211513"|"THE JACKSON LABORATORY"|"159847"|"1389872"|"ALTERNATIVE"|"F"
"01-0596561"|"LIBERTY LODGE INC"|"159848"|"1389888"|"Financial derivatives and other financial products"|""
"01-0596561"|"LIBERTY LODGE INC"|"159849"|"1389888"|"Closely-held equity interests"|""
"01-0627754"|"CLEVELAND ARTS PRIZE"|"159850"|"1389890"|"MARKETABLE SECURITIES"|"F"
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"159851"|"1389892"|"Financial derivatives and other financial products"|""
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"159852"|"1389892"|"Closely-held equity interests"|""
"01-0217277"|"MAINE FARM BUREAU ASSOCIATION"|"161051"|"1396966"|"MUTUAL FUNDS AND STOCKS"|"F"
"01-0228262"|"Northeast Heanng & Speech Center Inc"|"161052"|"1396969"|"Publicly traded stocks, bonds, mutual funds"|"F"
"01-0220430"|"THE LINCOLN HOME"|"162643"|"1406922"|"CASH AND CASH EQUIVALENTS"|"END-OF-YEAR MARKET VALUE"
"01-0220430"|"THE LINCOLN HOME"|"162644"|"1406922"|"CORPORATE NOTES"|"END-OF-YEAR MARKET VALUE"
"01-0220430"|"THE LINCOLN HOME"|"162645"|"1406922"|"US GOVERNMENT OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"01-0279587"|"Waban Projects Inc"|"162646"|"1406923"|"Publicly traded securities"|"F"
"01-0279587"|"Waban Projects Inc"|"162647"|"1406923"|"Mutual funds"|"F"
"02-0147630"|"HOLDERNESS SCHOOL"|"162648"|"1406935"|"INVESTMENTS - SECURITIES"|"F"
"02-0147630"|"HOLDERNESS SCHOOL"|"162649"|"1406935"|"BENEFICIAL INTEREST IN CHARITABLE REMAINDER TRUSTS"|"F"
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"163647"|"1413911"|"MULTI-ASSET ENDOWMENT PORTFOLIO"|"C"
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"163648"|"1413922"|"SECURITIES AND OTHER INVESTMENTS"|"F"
"01-0598053"|"Sears Brazos Retirement Corporation"|"163649"|"1413930"|"Investment in SMF"|"C"
"01-0332058"|"Hancock County Auditorium Associates"|"165164"|"1422750"|"Financial derivatives and other financial products"|""
"01-0332058"|"Hancock County Auditorium Associates"|"165165"|"1422750"|"Closely-held equity interests"|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"165166"|"1422766"|"COMMONWEALTH FINANCIAL NETWORK"|"F"
"01-0555559"|"ECS MINISTRIES"|"165167"|"1422771"|"MONEY MARKET FUNDS"|"F"
"01-0555559"|"ECS MINISTRIES"|"165168"|"1422771"|"CERTIFICATE OF DEPOSIT"|"F"
"01-0555559"|"ECS MINISTRIES"|"165169"|"1422771"|"COMMON STOCK"|"F"
"01-0555559"|"ECS MINISTRIES"|"165170"|"1422771"|"MUTUAL FUNDS"|"F"
"01-0717030"|"PORTAGE BAY INSURANCE"|"165171"|"1422782"|"INTERCOMPANY LOAN TO PARENT"|"C"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"166173"|"1428062"|"Equity Securities and Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"166174"|"1428062"|"Venture Capital and Private Equity Partnerships"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"166175"|"1428062"|"Hedge Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"166176"|"1428062"|"Fixed Income Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"166177"|"1428062"|"Real Estate, Commodity and Other Funds"|"F"
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERED BOARDS"|"166178"|"1428064"|"CERTIFICATE OF DEPOSIT"|"F"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"166179"|"1428065"|"Closely_held equity interests"|"F"
"01-0702442"|"NC IDEA"|"166469"|"1429600"|"IDEA FUND I LP TRIUMPHANT, INC."|"FMV"
"01-0702442"|"NC IDEA"|"166470"|"1429600"|"TRIUMPHANT, INC."|"COST"
"01-0702442"|"NC IDEA"|"166471"|"1429600"|"SOUTHEAST TECHINVENTURES, INC."|"COST"
"01-0702442"|"NC IDEA"|"166472"|"1429600"|"JOYSTICK LABS"|"COST"
"01-0702442"|"NC IDEA"|"166473"|"1429600"|"SOUTHEAST TECHNOLOGY FUND II"|"FMV"
"01-0702442"|"NC IDEA"|"166474"|"1429600"|"SOUTHEAST TECHNOLOGY FUND III"|"FMV"
"01-0702442"|"NC IDEA"|"166475"|"1429600"|"OTHER INVESTMENTS"|"FMV"
"01-0702442"|"NC IDEA"|"166476"|"1429600"|"FORESTER PARTNERS, LP"|"FMV"
"01-0702442"|"NC IDEA"|"166477"|"1429600"|"CHAMPION VENTURES"|"FMV"
"01-0702442"|"NC IDEA"|"166478"|"1429600"|"TIFF MAF"|"FMV"
"01-0702442"|"NC IDEA"|"166479"|"1429600"|"MCNC ENTERPRISE FUND LP"|"FMV"
"01-0702442"|"NC IDEA"|"166480"|"1429600"|"TIFF KEYSTONE FUND LP"|"FMV"
"01-0219810"|"Maine Insurance Agents Association"|"167571"|"1434663"|"Closely-held equity interests"|"C"
"01-0351334"|"Yarmouth Historical Society"|"167828"|"1436848"|"Celgene Corporation"|"F"
"01-0351334"|"Yarmouth Historical Society"|"167829"|"1436848"|"Pepsico"|"F"
"01-0351334"|"Yarmouth Historical Society"|"167830"|"1436848"|"Pinelawn cemetery"|"F"
"01-0351334"|"Yarmouth Historical Society"|"167831"|"1436848"|"T Rowe Price Group, Inc"|"F"
"01-0355896"|"JOHN F MURPHY HOMES INC"|"167864"|"1437183"|"U S GOVERNMENT OBLIGATIONS"|"F"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"167865"|"1437190"|"STOCKS"|"F"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"167866"|"1437190"|"MUTUAL FUNDS"|"F"
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"167867"|"1437223"|"MAIN POOL PORTFOLIO"|"F"
"01-0728746"|"UGLY DUCKLING PRESSE LTD"|"167868"|"1437226"|"Financial derivatives and other financial products"|""
"01-0728746"|"UGLY DUCKLING PRESSE LTD"|"167869"|"1437226"|"Closely-held equity interests"|""
"01-0196359"|"THE IRIS NETWORK"|"168975"|"1444582"|"MAINE COMMUNITY FOUNDATION"|"F"
"01-0196359"|"THE IRIS NETWORK"|"168976"|"1444582"|"CASH AND CASH EQUIVALENTS"|"C"
"01-0198980"|"NORTHEAST HARBOR FLEET"|"170236"|"1449789"|"CLIFTON DOCK CORPORATION"|"F"
"01-0665300"|"BARTRAM TRAIL CDC INC"|"170237"|"1449806"|"BOND ISSUE COST"|"C"
"01-6011501"|"University of Maine Foundation"|"170238"|"1449815"|"Financial derivatives"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"170239"|"1449820"|"CASH & EQUIVALENTS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"170240"|"1449820"|"CERTIFICATE OF DEPOSIT"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"170241"|"1449820"|"FUNDS HELD IN TRUST BY OTHERS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"170242"|"1449820"|"RETIREMENT & DSOP PLAN"|"F"
"01-0630527"|"PERSONAL ASSISTANCE OPTIONS INC"|"170882"|"1452662"|"AGENCY FUNDS"|"F"
"01-0211565"|"WAYNFLETE SCHOOL"|"171189"|"1454554"|"COMMON FUND"|"F"
"01-0211565"|"WAYNFLETE SCHOOL"|"171190"|"1454554"|"GMO INVESTMENTS"|"F"
"01-0367116"|"Families United of Washington County"|"171191"|"1454562"|"Financial derivatives and other financial products"|""
"01-0367116"|"Families United of Washington County"|"171192"|"1454562"|"Closely-held equity interests"|""
"01-0342356"|"Western Maine Transportation Services Inc"|"172427"|"1460169"|"Financial derivatives and other financial products"|""
"01-0342356"|"Western Maine Transportation Services Inc"|"172428"|"1460169"|"Closely-held equity interests"|""
"01-0217639"|"THE COMMUNITY SCHOOLS OPPORTUNITY FARM AND CAMDEN"|"172808"|"1461658"|""|"F"
"01-0223482"|"Millinocket Regional Hospital"|"172810"|"1461660"|"Investment in First Millinocket Regional Investment Corp"|"C"
"01-0223482"|"Millinocket Regional Hospital"|"172811"|"1461660"|"Investment in Katahdin Shared Services"|"C"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"173149"|"1462958"|"Financial derivatives"|"F"
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"173150"|"1462958"|"Closely-held equity interests"|"F"
"01-0405274"|"Home Counselors Inc"|"174234"|"1469708"|"Financial derivatives and other financial products"|""
"01-0405274"|"Home Counselors Inc"|"174235"|"1469708"|"Closely-held equity interests"|""
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"174314"|"1470126"|"EQUITY IN INS AGENTS SERVICES, INC"|"C"
"02-0207161"|"NEW HAMPSHIRE ASSOCIATION OF INSURANCE AGENTS"|"174315"|"1470126"|"BIG I REINSURANCE"|"C"
"01-0440635"|"Addison Point Specilaized Services Inc"|"174553"|"1471051"|"Financial derivatives and other financial products"|""
"01-0440635"|"Addison Point Specilaized Services Inc"|"174554"|"1471051"|"Closely-held equity interests"|""
"01-0078060"|"HENRIETTA D. GOODALL HOSPITAL, INC."|"174893"|"1472940"|"BENEFICIAL INT. IN PERP. TR."|"Market"
"01-0078060"|"HENRIETTA D. GOODALL HOSPITAL, INC."|"174894"|"1472940"|"ALTERNATIVE INVESTMENTS"|"Market"
"01-0078060"|"HENRIETTA D. GOODALL HOSPITAL, INC."|"174895"|"1472940"|"INVESTMENT IN REAL PROPERTY"|"Market"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175156"|"1474438"|"15,741 511 SHS PARAMETRIC EMRG MKTS - INST"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175157"|"1474438"|"16708 853 SHS LITMAN GREGORY MASTERS - INTLFD"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175158"|"1474438"|"18207 849 SHS LITMAN GREGORY MASTERS - FOCUSED OPPTY FD"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175159"|"1474438"|"20081 434 SHS LITMAN GREGORY MASTERS - EQTY FD INST"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175160"|"1474438"|"27585 960 SHS LITMAN GREGORY MASTERS - ALT STRAT INST"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175161"|"1474438"|"4161 000 SHS VANGUARD MSCI EMERGING"|"F"
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"175162"|"1474438"|"6089 844 SHS OAKMARK GLOBAL FUND"|"F"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"175640"|"1477501"|"PUBLICLY TRADED SECURITIES"|"END-OF-YEAR MARKET VALUE"
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"176075"|"1481493"|"TNVESTMENT IN ENTREPRENEURIAL FUND LTD."|"COST"
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"177212"|"1489136"|"VARIOUS"|"END-OF-YEAR MARKET VALUE"
"01-0377246"|"New Hope for Women Inc"|"177329"|"1492810"|"Investments"|"F"
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"177330"|"1492812"|"50SHS STANDARD AND POORS"|"F"
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"177331"|"1492812"|"FRANKLIN CUSTODIAN FUNDS"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"178098"|"1497088"|"EQUITIES"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"178099"|"1497088"|"FIXED INCOME"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"178100"|"1497088"|"ABSOLUTE RETURN"|"F"
"01-0215213"|"BOWDOIN COLLEGE"|"178101"|"1497088"|"ALTERNATIVE INVESTMENTS"|"F"
"02-0223322"|"Currier Museum of Art"|"178102"|"1497094"|"Real estate investment funds"|"F"
"02-0223322"|"Currier Museum of Art"|"178103"|"1497094"|"Alternative investments"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178313"|"1499487"|"Private Equity/Venture Capital Limited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178314"|"1499487"|"Real Estate & Real Asset Limited Partnership"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178315"|"1499487"|"Other Investments"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178316"|"1499487"|"Cash & Cash Equivalents and Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178317"|"1499487"|"Fixed Income Securities and Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178318"|"1499487"|"Global Equity Commingled Funds"|"F"
"02-0222111"|"Trustees of Dartmouth College"|"178319"|"1499487"|"Marketable Alternative Strategies Commingled Funds"|"F"
"01-0153128"|"Greater Rumford Community Center"|"178569"|"1500583"|"Financial derivatives and other financial products"|""
"01-0153128"|"Greater Rumford Community Center"|"178570"|"1500583"|"Closely-held equity interests"|""
"01-0351334"|"Yarmouth Historical Society"|"178740"|"1501491"|"Celgene Corporation"|"F"
"01-0351334"|"Yarmouth Historical Society"|"178741"|"1501491"|"Pinelawn cemetery"|"F"
"01-0351334"|"Yarmouth Historical Society"|"178742"|"1501491"|"T Rowe Price Group, Inc"|"F"
"01-0119375"|"MEGANTIC FISH AND GAME"|"179980"|"1508500"|"INVESTMENTS - US GOVERMENT OBLIGATIONS"|"F"
"01-0119375"|"MEGANTIC FISH AND GAME"|"179981"|"1508500"|"INVESTMENTS - MUTUAL FUNDS AND EQUITIES"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179982"|"1508502"|"O ther Global Equity"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179983"|"1508502"|"Equity Long-Short Hedge Funds"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179984"|"1508502"|"Absolute Return Hedge Funds"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179985"|"1508502"|"Venture Capital - Partnerships"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179986"|"1508502"|"Buyout - Partnerships"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179987"|"1508502"|"Real Estate - Partnerships"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179988"|"1508502"|"Natural Resources - Partnerships"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179989"|"1508502"|"Natural Resources - marketable"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179990"|"1508502"|"Separate- private placement"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179991"|"1508502"|"Total Investment Receivables"|"F"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"179992"|"1508502"|"Short and Long Term Cash and Equivalents"|"F"
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"179993"|"1508503"|"Financial derivatives and other financial products"|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"179994"|"1508503"|"Closely-held equity interests"|""
"01-0493897"|"Sunrise County Economic Council"|"179995"|"1508511"|"Financial derivatives and other financial products"|""
"01-0493897"|"Sunrise County Economic Council"|"179996"|"1508511"|"Closely-held equity interests"|""
"01-0493897"|"Sunrise County Economic Council"|"179997"|"1508511"|"Inv held at Me Cmty Found"|""
"01-0212444"|"York Hospital"|"180410"|"1510743"|"Other investments"|"F"
"01-0212444"|"York Hospital"|"180411"|"1510743"|"Alternative investments"|"F"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"180961"|"1514627"|"CSV - LIFE INSURANCE"|"F"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"180962"|"1514627"|"SPLIT INTEREST GIFTS"|"F"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"180963"|"1514627"|"REAL ESTATE"|"C"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"180964"|"1514627"|"LIMITED PARTNERSHIPS"|"C"
"01-0831698"|"JEWISH COMMUNITY FOUNDATION"|"180965"|"1514627"|"LOAN PARTICIPATION AGREEMENTS"|"F"
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"181158"|"1516909"|"BENEFICIAL INTEREST IN IRREVOCABLE TRUST"|"F"
"01-0269802"|"GIRL SCOUTS OF MAINE INC"|"181159"|"1516912"|"BENEFICIALINTEREST IN PERPETUAL TRUST"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"181160"|"1516918"|"Closely-held equity interests"|"F"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"181161"|"1516918"|"INVESTMENT IN JOINT VENTURES"|"F"
"01-0211484"|"Bangor Theological Seminary"|"181949"|"1521069"|"Beneficial Interest in Perpetual Trusts"|"F"
"01-0211484"|"Bangor Theological Seminary"|"181950"|"1521069"|"Equity and Bond Mutual Funds held in the Commonfund"|"F"
"01-0226195"|"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS 1253 LOCAL"|"182785"|"1524511"|"Closely-held equity interests"|"C"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"182786"|"1524516"|"CERTIFICATES OF DEPOSIT"|"F"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"182787"|"1524516"|"INVESTMENT IN MOM CAP, LLC"|"F"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"182788"|"1524516"|"INVESTMENT IN WHP, LLC"|"F"
"01-0502563"|"CAMP BEECH CLIFF"|"182789"|"1524521"|"CASH & CASH EQUIVALENTS"|"F"
"01-0502563"|"CAMP BEECH CLIFF"|"182790"|"1524521"|"MUTUAL FUNDS"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182791"|"1524534"|"Financial derivatives"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182792"|"1524534"|"Closely-held equity interests"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182793"|"1524534"|"Flexible Captial"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182794"|"1524534"|"Equities"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182795"|"1524534"|"Collective Trusts and REIT's"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"182796"|"1524534"|"Private equity"|"F"
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"184158"|"1529420"|"PRIVATE INVESTMENTS"|"F"
"01-0219126"|"LINCOLN ACADEMY"|"184619"|"1530917"|"FIXED INCOME INSTRUMENTS"|"F"
"02-0150530"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS 633 TCWH LOCAL"|"185538"|"1536531"|"CERTIFICATES OF DEPOSIT"|"F"
"02-0150530"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS 633 TCWH LOCAL"|"185539"|"1536531"|"INVESTMENT IN AFFILIATE"|"C"
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"186806"|"1548621"|"FUNDED DEPREC - INVESTMENTS"|"F"
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"186807"|"1548625"|"Financial derivatives and other financial products"|""
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"186808"|"1548625"|"Closely-held equity interests"|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"187701"|"1552250"|"Financial derivatives and other financial products"|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"187702"|"1552250"|"Closely-held equity interests"|""
"02-0103705"|"AMERICAN LEGION"|"187703"|"1552254"|"Financial derivatives and other financial products"|""
"02-0103705"|"AMERICAN LEGION"|"187704"|"1552254"|"Closely-held equity interests"|""
"02-0103705"|"AMERICAN LEGION"|"187705"|"1552254"|"INVESTMENTS"|"F"
"01-0288757"|"Child And Family Opportunities, Inc."|"188219"|"1555983"|"Investments"|"Cost"
"01-0242328"|"Bucks Harbor Yacht Club"|"188321"|"1556189"|"Financial derivatives and other financial products"|""
"01-0242328"|"Bucks Harbor Yacht Club"|"188322"|"1556189"|"Closely-held equity interests"|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"188840"|"1560031"|"CORPORATE EQUITY SECURITIES"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"188841"|"1560031"|"US GOVERNENT AND AGENCY OBLIGATIONS"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"188842"|"1560031"|"CORPORATE O BLIGATIONS"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"188843"|"1560031"|"MONEY MARKET FUNDS"|"F"
"02-0214073"|"AMERICAN LEGION ROBERT G DURGIN POST #6"|"189591"|"1567331"|"Edward Jones investment account"|"C"
"01-0589194"|"Brazilian Arts Foundation"|"189656"|"1567768"|"Financial derivatives and other financial products"|""
"01-0589194"|"Brazilian Arts Foundation"|"189657"|"1567768"|"Closely-held equity interests"|""
"01-0484793"|"TABLE OF PLENTY"|"189755"|"1567762"|"Financial derivatives and other financial products"|""
"01-0484793"|"TABLE OF PLENTY"|"189756"|"1567762"|"Closely-held equity interests"|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"190671"|"1577958"|"VANGUARD STAR FUND"|"END - OF - YEAR MARKET VALUE"
"01-0552288"|"THE FG FOUNDATION"|"190737"|"1577962"|"Closely-held equity interests"|"F"
"01-0583485"|"South Martin Conservation Alliance, Inc"|"190778"|"1578753"|"Closely-held equity interests"|"C"
"01-0478709"|"Maine Island Trail Association"|"191488"|"1587251"|"Beneficial Interest in Assets Held by Others"|"F"
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"191760"|"1587337"|"Financial derivatives and other financial products"|""
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"191761"|"1587337"|"Closely-held equity interests"|""
"02-0179723"|"POLISH AMERICAN CITIZENS CLUB"|"191947"|"1589877"|"Financial derivatives and other financial products"|""
"02-0179723"|"POLISH AMERICAN CITIZENS CLUB"|"191948"|"1589877"|"Closely-held equity interests"|""
"01-0783423"|"VISION COMMUNICATIONS INTERNATIONAL"|"192132"|"1589874"|"Financial derivatives and other financial products"|""
"01-0783423"|"VISION COMMUNICATIONS INTERNATIONAL"|"192133"|"1589874"|"Closely-held equity interests"|""
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192244"|"1592313"|"NRUCFC CAPITAL TERM CERTIFICATES"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192245"|"1592313"|"CFC MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192246"|"1592313"|"NRUCFC PATRONAGE CAPITAL CERTIFICATES"|"C"
