"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0639602"|"KIPP Austin Public Schools Inc"|"1492817"|""|"20586965.0000"|""|"504782.0000"|"KIPP Austin Public Schools, Inc (KIPP Austin) is a Recognized-rated school district in Austin providing a college-preparatory education to students from low-income families Incorporated in 2002, KIPP Austin is a single charter holder and does not conduct any other charter or non-charter activities In 2013, KIPP Austins enrollment was approximately 2,100 students in kindergarten"|""|""|""|""|""|""|""|""|""|""
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"1492812"|""|"261072.0000"|""|"249405.0000"|"SVCH provides the highest quality education for ages three through eight all program expenses are for that purpose"|""|""|""|""|""|""|""|""|""|""
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"1488173"|""|"139078.0000"|""|""|"The library serves a community of approximately 4,250 people circulation is over 22,000 services are provided to the general community including nursing homes and students"|""|""|""|""|""|""|""|""|""|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY MAINE"|"1488174"|""|"189718.0000"|""|"134358.0000"|"Home construction and related expenses incurred to provide housing to those in need and eliminate poverty housing"|""|""|""|"682.0000"|"Restore - provide access to affordable quality building materials, new and used, to the general public to help them create a better human habitat in which to live and work"|""|""|""|""|""
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"1488175"|""|"146253.0000"|""|"52582.0000"|"We provide new and recycled building material to low income homeowners at 75% of retail value educate low income homeowners on product awareness and construction materials"|""|""|""|""|""|""|""|""|""|""
"01-0544468"|"FOUR DIRECTIONS DEVELOPMENT CORPORATION"|"1488176"|""|"984877.0000"|""|""|"Improving social and economic conditions of native American tribal members by providing access to loan funds"|""|""|""|""|""|""|""|""|""|""
"01-0716494"|"PINE TOWNSHIP ENGINE COMPANY"|"1488596"|""|"138511.0000"|""|""|"Provide fire and safety services to Pine Township"|""|""|""|""|""|""|""|""|""|""
"01-0959193"|"INTERNATIONAL UNION, UAW LOCAL 2121"|"1488597"|""|""|""|""|"Collective bargaining and representation to 1748 members"|""|""|""|""|""|""|""|""|""|""
"01-6021794"|"CHARLOTTE HOBBS MEMORIAL LIBRARY"|"1488598"|""|"113587.0000"|""|""|"The Charlotte Hobbs Memorial Library provides library related services to the local community. The library is supported primarily through annual contributions from the town of lovell along with periodic donations from individuals."|""|""|""|""|""|""|""|""|""|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"1489136"|""|"110038.0000"|""|"84377.0000"|"Maintenance of the hirundo refuge for the preservation and study of wildlife, research, and outdoor education for benefit of the public school system."|""|""|""|""|""|""|""|""|""|""
"01-0709830"|"Educational Research Group"|"1489137"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0762333"|"RITA PROJECT, INC."|"1489138"|""|"4080.0000"|"0.0000"|"0.0000"|"using the arts to help educate and prevent suicide"|""|""|""|""|""|""|""|""|""|""
"00-0889899"|"Academic & Behavioral Clinic, Inc"|"1489823"|""|"2295807.0000"|"4999.0000"|"2312311.0000"|"Provides community-base social services -counseling-"|""|""|""|""|""|""|""|""|""|""
"01-0233275"|"MACCRILLIS-ROUSSEAU POST NO. 8835 VETERANS OF FOREIGN WARS"|"1489824"|""|""|""|""|"Served 493 members who are Veterans of Foreign war-time service to their country, by providing facilities for their social and recreational activities, assisted those in need of accessing medical care or other veterans benefits that are available, and presented military honors at funeral and memorial services for deceased members."|""|""|""|""|"Community and educational services include marching in patriotic parades and attending patriotic observances, presenting awards and recognition to students winning the voice of democracy contest, and promoting the principles of democracy, patriotism, and freedom within the schools and community."|""|""|""|""|""
"01-0368188"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|"1489825"|""|"186577.0000"|""|"135646.0000"|"EDUCATION AND SUPPORT SERVICES ARE PROVIDED TO ORGANIZATIONS WHICH ADMINISTER AND SUPPORT MEDICAL SERVICES IN SOUTHERN MAINE APPROXIMATELY 1,800 LICENSED EMT PERSONNEL WERE SERVICED BY THE ORGANIZATION IN 2012/2013 j"|""|""|""|""|""|""|""|""|""|""
"01-0378758"|"Maine College of Art"|"1489826"|""|"9814678.0000"|"4779119.0000"|"13575240.0000"|"Instruction - Primary mission The College is a private institution offering bachelor and master of fine arts degree programs to approximately 400 full-time students concentrating in the fine arts, a post-baccalaureate program in art education, as well as a wide range of continuing studies classes for individuals of all ages and a publicly accessible gallery, the Institute of Contemporary Art"|""|""|""|""|""|""|""|""|""|""
"01-0473460"|"DOWNTOWN IMPROVEMENT DISTRICT, INC"|"1489827"|""|"320387.0000"|""|"109894.0000"|"Downtown Improvement District, Inc D/b/a Portland's Downtown District (PDD) is the day to day management entity for the downtown. Free downtown events include: old port festival, holiday events, and alive @ 5. PDD also has a downtown guide program and helped develop new signage in the downtown area to encourage tourism."|""|"291396.0000"|""|"291396.0000"|"PDD provided management services through a contract with the city of Portland, Maine that buys litter and trash removal, sidewalk cleaning and sidewalk snow clearing services. These activities are intended to enhance the perception of safety and encourage pedestrian access throughout the year."|""|"58540.0000"|""|"58839.0000"|"PDD maintains two parking validation programs - park & shop and park & work. park & shop is a program which is intended to overcome the objection to paying for parking when doing business in downtown. park & work provides parking discounts for individuals who work within the downtown district on a part time basis to support small business. Employees purchase tickets from their employers and redeem them at various participating parking lots."
"01-0607464"|"WESTMORELAND APARTMENTS, INC."|"1489828"|""|"110670.0000"|"0.0000"|"64777.0000"|"Provided a clean, safe housing environment for a total of 22 low-income seniors of Wayne County, West Virginia throughout the year"|""|""|""|""|""|""|""|""|""|""
"01-0735866"|"THORNDALE ECONOMIC DEVELOPMENT CORPORATION"|"1489829"|""|"726.0000"|""|""|"Economic Development within the city of Thorndale Texas"|""|""|""|""|""|""|""|""|""|""
"01-0523776"|"Sprinq Point Ledge Light Trust"|"1491449"|""|"18479.0000"|""|"28182.0000"|"Held 30 openings with 3,086 people touring the Lighthouse. Had 44 bus/other tours with 434 people"|""|"9636.0000"|""|"5800.0000"|"Maintenance and repairs to fulfill the requirements of the deed of the Lighthouse from the US Coast Guard/Department of Homeland Security, consisting of general maintenance, painting of interior of the Lighthouse"|""|""|""|""|""
"01-0853006"|"North Park USBC Youth UNIT"|"1492764"|""|""|""|""|"/"|""|""|""|""|""|""|""|""|""|""
"01-0061300"|"Fraternal Order of Eagles #1457"|"1492806"|""|"4400.0000"|""|""|"Lounge room entertam The operation of the lounge room benefited over 1,100 members and guests assisted in raising donations for the clubs charitable giving"|""|"1000.0000"|""|""|"Donations to Pink Sock Foundation The donation goes to the treatment of breast cancer and to lessen human suffering"|""|"2976.0000"|""|""|"Donations to various public charities These donations went to causes such as local food cupboard, lce hockey boodtes, Wrestling boosters, Make a Wish, Children's Miracle Network, and various families for disaster relief"
"01-0211503"|"Franklin Memorial Hospital"|"1492807"|""|"40029439.0000"|"10000.0000"|"59761828.0000"|"Routine Inpatient and Ancillary Outpatient ServicesFranklin Memorial Hospital is a non-for-profit community hospital which provides high-quality, cost-effective, patient-centered inpatient and outpatient healthcare services to west central Maine communities The 65-bed hospital is fully qualified and accredited to handle a broad range of medical, surgical, pediatric"|""|"24534153.0000"|""|"9393744.0000"|"Franklin Health Physician PracticesFranklin Memorial Hospital identified access to pnmary care as a central community need and is committed to providing high quality physician services of family practice, internal medicine, pediatrics and women's care In addition, Franklin Memonal Hospital offers a vanety of specialty care services including dermatology, surgery, orthopaedics"|""|"5681698.0000"|""|"7108393.0000"|"Emergency RoomFranklin Memonal Hospital operates an emergency department which operates 24 hours a day seven days a week The Emergency Department serves as the pnmary care physician for a number of low income and indigent residents of the west central Maine communities Given Franklin Memonal Hospital's commitment to access to care regardless of ability to pay"
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"1492808"|""|"128316713.0000"|"34002977.0000"|"141451124.0000"|"Higher education education of over 9,681 students at the college level during the 2012-13 academic year, the university granted 1,417 associate's, bachelor's, master's and doctoral degrees, representing the colleges of arts and sciences, Westbrook College of health professions, college of osteopathic medicine, college of graduate studies, and college of pharmacy the university offers programs in osteopathic medicine, allied health sciences, liberal arts, pharmacy"|""|"20531883.0000"|""|"23336824.0000"|"Auxiliary services for the delivery of higher education include room and board for over 1,000 students the mission is to work in partnership with resident students to create a healthy and positive residential community that enhances academic pursuits and provides opportunities for personal, social and spiritual growth the goal is to promote an atmosphere rooted in civility and personal responsibility, and encourage reflective thinking and active involvement the staff strives to teach"|""|""|""|""|""
"01-0319802"|"Spurwink Services Inc"|"1492809"|""|"22383158.0000"|""|"22534678.0000"|"Residential treatment services provides for 199 children, adolescent and adult clients on a 24/7 basis In FY13, of 59 child and adolescent residential clients discharged from Spurwink Services, 46 went to a lower level of care during the year, 6 children went to different, like placements and 7 children required more intensive care as they left our programs Other states, including Connecticut, New Hampshire and New York."|""|"12397007.0000"|""|"14276360.0000"|"Spurwink Services has eight children/adolescent educational programs and four adult day programs serving 253 and 42 clients respectively Each child has an individualized educational plan established to meet his/her academic and behavioral goals Students have access to computers and software that enhance his/her learning and all schools have wireless connections to the Internet All programs have Promethean board in one or more classrooms and all students have licensed access to ""PLATO""."|""|"11285528.0000"|""|"12294275.0000"|"Spurwink provides programs in the community through our Evidence Based Community Practice Division Services include adult medication management, ""ACT"" for adults, targeted case management, functional family therapy, autism evaluations, hi-fidehty wrap around case management, alternative response program and forensic child abuse evaluations We work closely with stakeholders including large referral sources such as Maine's Department of Health and Human Services."
"01-0377246"|"New Hope for Women Inc"|"1492810"|""|"248193.0000"|""|""|"INDIVIDUAL ADVOCACY PROGRAM- provides intervention counseling through a 24 hour hotline, office visits, court advocacy, information and referral services"|""|"83120.0000"|""|"15057.0000"|"TIME FOR CHANGE - provides a certified education program for batterers"|""|"375378.0000"|""|""|"COMMUNITY EDUCATION PROGRAMS - provides education and prevention programs to schools and other community institutions and organizations which have contact with people affected by domestic and dating violence"
"01-0178800"|"MID-MAINE CHAMBER OF COMMERCE"|"1494029"|""|"128651.0000"|""|"101295.0000"|"All program services consist of various activities designed to promote the Mid-Maine area, thereby increasing the potential market for area businesses"|""|"780.0000"|""|"5108.0000"|"Joseph B. Ezhaya scholarship fund awards"|""|""|""|""|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"1494030"|""|"29122.0000"|""|"50754.0000"|"The chamber continues to advance the civic, commercial, industrial, and agricultural interests of the towns of York, Kittery, Eliot and South Berwick me during the past year, the chamber has sponsored various informational seminars, has organized monthly business to business meeting nights where business owners and others can meet and discuss various issues of interest"|""|"3500.0000"|""|"25717.0000"|"The chamber continues to advance the civic, commercial, industrial, and agricultural interests of the towns of York, Kittery, Eliot and South Berwick me during the past year, the chamber has sponsored various informational seminars, has organized monthly business to business meeting nights where business owners and others can meet and discuss various issues of interest"|""|"62161.0000"|""|"123620.0000"|"The chamber continues to advance the civic, commercial, industrial, and agricultural interests of the towns of York, Kittery, Eliot and South Berwick me during the past year, the chamber has sponsored various informational seminars, has organized monthly business to business meeting nights where business owners and others can meet and discuss various issues of interest"
"01-0327898"|"CORINNA HOUSING CORPORATION"|"1494031"|""|"184432.0000"|""|"94155.0000"|"Provide low income housing for the elderly, 24 units"|""|""|""|""|""|""|""|""|""|""
"01-0329792"|"DELTA AMBULANCE"|"1494032"|""|"5897147.0000"|""|"7369815.0000"|"Delta Ambulance is a non - profit ambulance service with facilities in Waterville and Augusta, Maine that provide an advanced life support ambulance service to 17 communities in central Maine and continuing education for EMS providers with a commitment to delivering the highest quality medical care, to respond to patient and community needs and keep pace with advances in medical technology."|""|""|""|""|""|""|""|""|""|""
"01-0418902"|"UNITED BIKERS OF MAINE"|"1494034"|""|""|""|""|"See attachment #2"|""|""|""|""|""|""|""|""|""|""
"01-0440702"|"Arundel Cemetery Caproration"|"1494035"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"1494036"|""|"22596.0000"|"0.0000"|"0.0000"|"Provide Public Library programs, materials and building maintenance"|""|""|""|""|""|""|""|""|""|""
"01-0537084"|"Maine Huts & Trails"|"1494037"|""|"1426103.0000"|"0.0000"|"604769.0000"|"The focus of the organization's efforts has been to create a recreation and tourism resource of national significance that will serve as a model of economic development, land conservation and healthy., outdoor recreation."|""|""|""|""|""|""|""|""|""|""
"01-0562546"|"Shermans Dale Community Fire Co."|"1494038"|""|"88667.0000"|""|""|"Firefighting, disaster assistance and public education regarding prevention"|""|""|""|""|""|""|""|""|""|""
"01-0562775"|"NJ EMERGENCY PREPAREDNESS ASSN"|"1494039"|""|"220857.0000"|""|"265692.0000"|"Annual conference providing training, coordination, and promotion of public and private partnerships in planning, response, recovery, and mitigation of all types of emergencies (approx 1000 people)"|""|""|""|""|""|""|""|""|""|""
"01-0589514"|"Green Power EMC"|"1494040"|""|"17327651.0000"|""|"17134279.0000"|"Green Power is a not-for-profit corporation organized to: furnish electrical energy and service - assist its members in the efficient and economical use of energy - engage in research and promote and develop energy conservation and sources and methods of conserving, producing, converting and delivering energy - engage in any lawful act or activity necessary or convenient to effect the foregoing purposes."|""|""|""|""|""|""|""|""|""|""
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORP. INC"|"1494041"|"531110"|"67152.0000"|"5000.0000"|"62017.0000"|"THE CDC PRIMARY FOCUS IN 2013 WAS TO MAINTAIN CURRENT TENANT/LANDLORD RELATIONS, PROVIDED HOUSING FOR FAMILIES WHO WERE OTHERWISE INELIGIBLE TO OBTAIN DUE TO VARIOUS LIFE CIRCUMSTANCES. (2)MAlNIAlN PROPERTY UPKEEP (3) ORGANIZATION BEGIN PHASE 1 OF IT'S STRAIEGIC PLAN TO BUlLD SIX (6) NEW AFFORDABLE HOUSES (4) CULTIVATING A PARTNERING RELATIONS WITH THE LOCAL/STATE HOUSING AUTHORITY (5) PROVIDED TRAINING"|""|""|""|""|""|""|""|""|""|""
"01-0638984"|"WEALTH WATCHERS, INC."|"1494042"|""|"113080.0000"|""|"1111642.0000"|"Community Development - Worked with local community based organization to revitalize and improve the quality of lives in various communities in Jacksonville, Florida."|""|"1188757.0000"|""|"1204270.0000"|"Housing Counseling - Provided financial literacy and housing counseling to low to middle income residents of Jacksonville, Florida."|""|""|""|""|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"1494043"|""|"21659.0000"|"21659.0000"|""|"Provide financial aids and lunch program to economic disadvantaged students attending Baxu and Lihu middle schools m Guangxi, Total covered students 300"|""|"36991.0000"|"36991.0000"|""|"Provide scholarships to Nandan high school students Total covered students: 240"|""|"54449.0000"|"54449.0000"|""|"Provide scholarships to collene students who graduated from Nandan hiah school and continue to attend various accredited unversities in China. These students must be covered in LEF hiah school program prior to attend the colleges total covered students 88"
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"1494044"|""|"127000.0000"|"127000.0000"|""|"Advocacy program works to increase community understanding of mental illnesses and to improve the treatment of children and adults living with mental illness."|""|""|""|""|""|""|""|""|""|""
"01-0717158"|"GEORGETOWN COMMUNITY RESOURCE CENTER"|"1494045"|""|"193284.0000"|""|"45006.0000"|"To further the purposes of other such organizations and agencies by renting office space and related services at no cost or substantially below market price so as to be uncompetitive with those in the general market. The fair market value of donated use of facilities provided to the organization for this purpose was $154,270."|""|""|""|""|""|""|""|""|""|""
"01-0722133"|"Olmsted Community Center"|"1494046"|""|"486964.0000"|""|"603925.0000"|"Developed children's theatre, Art classes, After school programs, recreation and fitness programs, diversion program, computer training. We are a resource facility for many other nonprofits in the area."|""|""|""|""|""|""|""|""|""|""
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"1494047"|""|"180922.0000"|""|"203874.0000"|"Organization has been successful through its operations and various events in educating dog owners and handlers and their dogs in obedience and agility functions for recreational purposes throughout the year for its members"|""|""|""|""|""|""|""|""|""|""
"01-0769456"|"VENTURA HILLSIDES CONSERVANCY"|"1494048"|""|"87705.0000"|""|""|"Land conservation and education expenses to preserve land surrounding the city of Ventura and educate the local population about the benefits of preserving such land."|""|""|""|""|""|""|""|""|""|""
"01-0852125"|"ORGANIZATION OF PJM STATES, INC. (OPSI)"|"1494049"|""|"578744.0000"|""|"11500.0000"|"All elected/appointed officials of the 14 member states' utility commissions and their staff are automatically members and therefore are served by OPSI. This equates to 70 commissioners and nearly 3,000 technical/legal/administrative staff persons. OPSI does not issue/publish any publications but files documents in proceedings before the Federal Energy Regulatory Commission as needed. OPSI members do appear at conferences and seminars as speakers."|""|""|""|""|""|""|""|""|""|""
"01-0853006"|"North Park USBC Youth"|"1494050"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0855170"|"Catholic Christians Defending Christ & His Church"|"1494051"|""|"643.0000"|""|"509.0000"|"accurately, thoroughly,persistently, tactfully and compassionately educate Catholics in their faith Media and bulletin inserts distributed in St. Louis Archdiocese Talks and Parish Missions"|""|""|""|""|""|""|""|""|""|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"1494052"|""|"40750.0000"|"40750.0000"|""|"Scholarships for students who are graduates of Livermore falls high school, grade point average of at least 3.0, to attend an undergraduate program at an accredited college or university"|""|""|""|""|""|""|""|""|""|""
"02-0105200"|"ACA ASSURANCE"|"1494053"|""|""|""|""|"Revenue in 2013 is primarily from commissions related to insurance policies that were sokfprior to 2013. There were no expenses related to jprqgram revenue in 2013. There will no longer bejprogram revenue or related expenses as a result of the liquidation of the organization described in Schedule 0 for Part III."|""|""|""|""|""|""|""|""|""|""
"01-0376014"|"WOMANCARE/AEGIS ASSOCIATION"|"1497090"|""|"188870.0000"|""|""|"Individual advocacy and crisis response services: one-to-one assistance to victims of domestic violence and concerned others, accessed through a 24-hour hotline or in person, for the purpose of helping individuals at risk from domestic abuse as well as others in crisis to increase their safety, maximize their capability to act on their own behalf, and to have a greater sense of power over their lives. The program also includes educational groups, transitional housing/services"|""|"147812.0000"|""|""|"Community education/community response program (ce/cr): efforts are focused on preventing domestice violence, alleviating the effects of such violence, and changing societal attitudes and behaviors in relation to domestic violence through such activities as information dissemination, education, training, advocacy for changes in relevant civil, governmental, and penal systems, and collaboration/monitoring of the community's response to domestic violence."|""|"73906.0000"|""|""|"Legal services program: provides comprehensive civil legal and support services to individuals who have experienced domestic violence, dating violence, or stalking. The legal advocate assists victims/survivors with filling out necessary paperwork (family matters), provides court advocacy, and/or, makes appropriate referrals to the penquis law project, which provides legal services for low- and moderate-income residents of penobscot, piscataquis"
"01-0582508"|"ST. HOPE PUBLIC SCHOOLS, INC."|"1497091"|""|"5082927.0000"|""|"185452.0000"|"Overview and Sacramento charter high school overview St. Hope Public Schools (SHPS) opened its doors in 2003 with a clear vision: to create one of the finest urban pre-kindergarten through 12th grade public school systems in America. Our students attend longer school days, are held to high expectations for academics and behavior and focus on preparing to obtain a four-year college degree. St. Hope Public Schools operates triumph center for early childhood education, ps7 (K-8)"|""|"3079836.0000"|""|""|"St. Hope Public school #7 ps7 continues the journey to success at St. Hope Public Schools. Ps7 has produced stunning results. It is ranked among the top 10% of similar schools in California and was the only school in Sacramento County nominated for the prestigious blue ribbon award in 2010. Walk into any ps7 classroom and the scene is the same: a group of students leaning forward, listening intently as a teacher asks questions. Then, a flurry of hands are raised"|""|"499241.0000"|""|"228156.0000"|"Triumph center for early childhood triumph preschool sets the tone for what is to come at St. Hope. Research shows that children who attend quality preschool have stronger reading and math skills, are less likely to be held back a grade, and are more likely to graduate from high school. At triumph, children begin the path to becoming life-long learners and leaders who are committed to serving others. The classrooms are alive with hands-on exploration and learning of every kind"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"1497092"|""|"53011823.0000"|"0.0000"|"85363105.0000"|"Saint Francis Hospital South. LLC operates as an acute care hospital providing inpatient outpatient and emergency care to residents of Broken Arrow and Tulsa. Oklahoma and surrounding areas admitting physicians are primarly practitioners in the local area effective July 2,2007, Saint Francis Hospital South."|""|""|""|""|""|""|""|""|""|""
"02-0223322"|"Currier Museum of Art"|"1497094"|""|"8847277.0000"|"0.0000"|"426856.0000"|"Art Museum The Currier, an internationally renowned art museum, is New Hampshire's largest art museum with world class European and American art collections of over 13,000 objects that are at the core of its education, studio, and exhibition programs An annual roster of 4-5 special exhibitions that complements the permanent collection displays are interpreted through a range of programs including guided tours, hands-on art making activities"|""|"340892.0000"|"14259.0000"|"245761.0000"|"Art Center Open since 1939, the Art Center serves Manchester and surrounding communities with quality, studio-based educational programs in the visual arts Year round programs include summer art camps, school vacation-week camps, fall and winter semester-long classes, master classes, and workshops Some after-school programs are offered at select schools in the region The Art Center provides a wide range of studio instruction for children, teens"|""|"109356.0000"|"0.0000"|"60843.0000"|"Zimmerman House The historic Isadore J and Lucille Zimmerman House was designed by architect Frank Lloyd Wright Included in the House is the original furniture designed by Wright and the Zimmermans' personal collection of modern art, pottery, and sculpture The Zimmerman House draws about 4,000 visitors annually for tours of the House and grounds The Zimmerman House is the only residence in New England designed by Frank Lloyd Wright that is open to the public"
"01-0221344"|"BRIDGTON ACADEMY"|"1499486"|""|"5134862.0000"|"2013388.0000"|"8092213.0000"|"The largest expenses in our program services are related to salaries & wages, fringe benefits, and financial aid these three expenses support the ongoing mission of the school in offering a one year college preparatory program salaries & wages/fringe benefits supports the schools biggest program achievement by providing teachers for academic instruction financial aid allows students to attend our school, based on individual and/or family financial circumstances"|""|""|""|""|""|""|""|""|""|""
"02-0222111"|"Trustees of Dartmouth College"|"1499487"|""|"532187870.0000"|"129314318.0000"|"367644495.0000"|"Education and Academic Support A Dartmouth education is unlike any other Through person-to-person teaching and opportunities to create and apply knowledge on campus and across the globe, Dartmouth instills a love of learning among its students and empowers them for a lifetime of leadership Academics at Dartmouth are innovative, interdisciplinary, international, and individualized for each student Each student's experience is distinguished by breadth"|""|"198568417.0000"|"7778796.0000"|"11023123.0000"|"Research & Research Support At Dartmouth, teaching and research are inextricably linked Dartmouth offers undergraduate students a rigorous curriculum at the forefront of higher education and Dartmouth faculty pursue research at the highest levels of their disciplines Students conduct independent study through one- on-one supervision with a faculty member or work as a member of a research group in state-of-the-art facilities Dartmouth is home to world-class scholars"|""|"159414782.0000"|"1432061.0000"|"87827983.0000"|"Campus Life Our close-knit community is a distinctive and enduring feature of the Dartmouth experience For students, the process of joining and adapting to a new community can be as educationally significant as their academic work For this reason, Dartmouth invests resources in creating a community that is both stimulating and nurturing Nearly 90% of Dartmouth undergraduates live on campus"
"01-0215213"|"BOWDOIN COLLEGE"|"1497088"|""|"151286000.0000"|"31366000.0000"|"107084000.0000"|"The on-campus student body numbers approximately 1,834 an estimated 122 students study away annually, 93% complete the degree within five years, the student/faculty ratio is 9 1, 98% of faculty has a ph d or equivalent as of June 2013, 37,914 students have matriculated at Bowdoin College, and 29,711 degrees in academic programs have been awarded"|""|""|""|""|""|""|""|""|""|""
"01-0280225"|"Catholic Chanties Maine"|"1497089"|""|"9067722.0000"|""|"8824240.0000"|"Behavioral Health Services performed include 1,594 adults with mental illness received case management support to help them access health care and community services and fully live their lives, 663 at-nsk youths and their families received intervention and support to prevent them from further involvement with the legal or mental health system"|""|"4281354.0000"|""|"3650293.0000"|"Children and Youth Services performed include 412 children received high-quality, developmentally appropriate childcare and education so parents could work or attend school, 5,267 children, adolescents, and adults received quality dental and orthodontic care, 9 foster children with emotional and behavioral difficulties were placed in supportive foster homes"|""|"10691788.0000"|"190760.0000"|"8706402.0000"|"Specialized Community Services performed include 24,196 individuals and families in Aroostook County were provided with food assistance, 361 refugees resettling in Maine received help finding housing, jobs, and referrals to available services, 3,409 individuals and businesses statewide received language interpretation and translation services, 3,113 individuals found compassionate support during an unplanned pregnancy, managing post-abortion grief."
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"1497735"|""|""|""|""|"Golf course facilities - 626 golf members"|""|""|""|""|"Tennis facilities -112 members"|""|""|""|""|"Restaurant & bar for members & guests"
"01-0693025"|"GILLOURY INSTITUTE"|"1497736"|""|"567366.0000"|""|""|"Throughout 2013 we hosted 5,138 patrons and we engaged with 18,337 individuals through our online initiatives (dramaturAical videos, video plays, and civic engagement programming). In total, we conducted the followinA arts programs. The World Premiere of Raliv Joseph's ""The Lake Effect,"" 1.287 attended (73% attendance), 1,671 viewed dramaturaical videos The Midwest Premiere of Jonas Hassen Khemin's ""Invasionl,"" 1,464 attended (61% attendance)"|""|"27479.0000"|""|""|"We delivered civic engagement and education programs including hosting & documenting a panel discussion, ""Building a Theatre of Inclusion "" We also generated a community-wide conversation on racism in theatre through Artistic Director Jamil Khoury's essays, ""The Trouble With Mary"" and ""Critical Praise for Racial Profiling "" To encourage communities to invest in Middle Eastern playwrights, Khoury wrote and delivered a video essay, ""Towards An Arab American Theatre Movement"|""|""|""|""|""
"01-0792511"|"HIGH WAY EDUCATION INC."|"1497738"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0838125"|"SAFE FAMILY MINISTIRES"|"1497739"|""|"132172.0000"|""|"49853.0000"|"During 2013 forty-one (41) women and nineteen (19) children received services. These services include physical, mental, emotional, spiritual and financial counseling, in addition, the program requires that all outstanding legal issues be addressed including those related to family court, warrants, fines, jail time, electronic monitoring and other court ordered santions. Many of our success have regained custody of their children, satisfied all of their legal requirements."|""|""|""|""|""|""|""|""|""|""
"01-0857925"|"Saugus Plaza Funding Company"|"1497740"|""|""|""|""|"See attached rider."|""|""|""|""|""|""|""|""|""|""
"02-0199215"|"UKRAINIAN- AMERICAN CITIZENS CLUB"|"1497742"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0225721"|"AMERICAN LEGION RICCIARDI-HARTSHORN POST 23"|"1497744"|""|""|""|""|"This organization gives to boy scouts, scholarships, needy veterans baseball team and other needs"|""|""|""|""|"Payroll, operating expenses, purchases for operation of business, etc"|""|""|""|""|""
"01-0153128"|"Greater Rumford Community Center"|"1500583"|""|"183926.0000"|""|"207975.0000"|"Recreational activities"|""|""|""|""|""|""|""|""|""|""
"01-0363624"|"KENNEBUNKPORT EMERGENCY MEDICAL SERVICES INC"|"1500584"|""|"280481.0000"|""|"145082.0000"|"Organize and train personnel in the care and transportation of the ill and injured render emergency first aid, medical assistance, and transportation to an Emergency Medical facility in the event of an accident, illness, or civil emergency, to inhabitants of, and visitors to, the town of kennebunkport, Maine, including those who may just be passing through the KEMS service area provide mutual aid as requests from neighboring municipalities on the basis of reciprocity"|""|""|""|""|""|""|""|""|""|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"1500585"|""|"203665.0000"|""|""|"To encourage the instruction, practice, and advancement of the members in all types of Figure Skating, to promote harmony among members, to encourage and cultivate a spirit of fraternal feeling among ice skaters, to sponsor, to produce, to participate in the production of amateur ice carnivals and shows"|""|""|""|""|""|""|""|""|""|""
"01-0217234"|"BIDDEFORD POOL YACHT CLUB"|"1501986"|""|""|""|""|"Organization provides sailing lessons, moorings, and related marine services to club members. Organization also hosts social engagements for members such as dinners, dances, and barbeques."|""|""|""|""|""|""|""|""|""|""
"01-0705428"|"Ukrainian Ministry, Inc."|"1501987"|""|"23467.0000"|""|""|"Care and housing of 16 orphans"|""|"4870.0000"|""|""|"Financial support for pastors who minister to congregations in Ukraine"|""|"200.0000"|""|""|"Support of clinic staff at free clinic - 2,178 patients treated by doctors and nursing staff. Also includes cost of maintenance of diagnostic equipment"
"01-0731740"|"Irene's Christian Academy, Inc"|"1501988"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
