"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0803184"|"CHRIST ENRICHMENT CENTER INC"|"1728742"|"The mission of Christ Enrichment Center is to provide and promote educational growth and enrichment opportunities for all ages in our local community"|"N"|"N"|""|""|""|"186859.0000"|""
"01-0884383"|"MILAGRE KIDS SCHOOLS INC"|"1728743"|"The primary purpose of the organization is to improve the daily lives of children with autistic disorders and provide them with superior long term outcomes by providing an educational program to teach communication skills"|"N"|"N"|""|""|""|"968256.0000"|""
"01-0557881"|"GRANDIN THEATRE FOUNDATION INC"|"1736140"|"To preserve the historic Grandin"|"N"|"N"|""|""|""|"623232.0000"|""
"01-0505456"|"Sail Maine"|"1742410"|"Sailing education"|"N"|"N"|""|""|""|"475472.0000"|""
"01-0565671"|"The San Diego River Park Foundation"|"1742412"|"The mission of the San Diego River Park Foundation is to support and empower community groups working to restore and enhance the San Diego river and to foster stewardship of this important community and regional asset in perpetuity."|"N"|"N"|""|"114416.0000"|""|"639970.0000"|""
"01-0571960"|"UECDF CORPORATION"|"1742413"|"To provide investment capital and loans to local businesses and rehabilitation and deleading loans to residential homeowners"|"N"|"N"|""|""|""|"697719.0000"|""
"01-0604413"|"THE FOUNDATION OF ST. LAWRENCE NYSARC, INC."|"1742414"|"The property of the foundation shall be used solely and exclusively for the benefit of St. Lawrence Nysarc, Inc. (a 501(C)(3) ORGANIZATION) and for the conduct, maintenance, promotion, development or support of any charitable activities in which St."|"N"|"N"|""|""|""|"118623.0000"|"Y"
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"1742415"|"To improve the everyday life experiences of people with developmental disabilities through providing more choice in living options and changing public perception"|"N"|"N"|""|""|""|"1595403.0000"|""
"01-0704374"|"BENDERS LANDING PROPERTY OWNERS ASSOCIATION"|"1742417"|"The association was formed to provide common services to the owners and residents in the community."|"N"|"N"|""|""|""|"318403.0000"|""
"01-0740113"|"KHMER ARTS ACADEMY"|"1742418"|"The organization presents performances throughout the world, provides instruction and education, conducts archiving, and does other activities to preserve, promote, and present the traditional arts of Cambodia and other art forms"|"N"|"N"|""|""|""|"380956.0000"|""
"01-0843142"|"SCUBANAUTS INTERNATIONAL, INC"|"1742420"|"Coral reef research by youth divers"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"210809.0000"|""
"01-0851113"|"LIFELINX CORPORATION"|"1742421"|"To reduce substance abuse through relapse prevention and to provide individualized access to substance abuse treatment and other related services to the people of Connecticut to provide housing when necessary to prevent relapse"|"N"|"N"|""|"25982.0000"|""|"130512.0000"|"Y"
"01-0865460"|"SAN MARINO COMMUNITY ATHLETICS ASSOCIATION"|"1742423"|"Conducts community youth sports programs with focus on fundamental skills, sportsmanship and citizenship Programs include community youth basketball and flag football programs Activities also include booster clubs organized to support and develop education and training of amateur athletics at the schools of San Marino School District"|"N"|"N"|""|""|""|"395455.0000"|""
"01-0904345"|"PHOENIX LODGE 2 FRATERNAL ORDER OF POLICE"|"1742424"|"Foundation endeavors to assit all members and families by providing continuing education on issues affecting individual officers, legislative monitorinng and providing member benefits for fallen officers families."|"N"|"N"|""|""|""|"23194.0000"|""
"01-3253364"|"SPONTANEOUS CELEBRATIONS INC"|"1742425"|"Community cohesion through activities"|"N"|"N"|""|""|""|"208645.0000"|""
"01-6020566"|"WALDO COMMUNITY ACTION PARTNERS"|"1742426"|"To create opportunities for people to improve their quality of life"|"N"|"N"|"294520.0000"|"538124.0000"|""|"4360470.0000"|"Y"
"02-0214113"|"AMERICAN LEGION POST"|"1742427"|"To provide central location for local veterans to meet and participate in local, state and national veteran affairs. Provide funding and volunteers for community outreach to youth and elderly. For community outreach to youth and elderly."|"N"|"N"|""|""|""|"40848.0000"|""
"01-0367791"|"United Perenscot Housing, Inc."|"1726184"|"Provide goverment assisted elderly housing for 12 months"|"N"|"N"|""|""|""|"735910.0000"|""
"01-0263385"|"Thomas College"|"1726247"|"Thomas College prepares students for success in their personal and professional lives, and for leadership and service in their communities Thomas provides a supportive learning environment that values the needs and goals of individual students At Thomas, students discover and fulfill their unique potential Each program at the college promotes professional excellence, informed by ethics and integrity"|"N"|"N"|""|""|""|"20230440.0000"|""
"01-0603628"|"LEARNINGSPRING SCHOOL"|"1726248"|"The Learningspring School for children on the autism spectrum in grades k-8 is committed to advance the social, developmental and academic growth of its students through pioneering educational and therapeutic strategies in order to prepare each child to participate in the wider community"|"N"|"N"|""|""|""|"4446185.0000"|"Y"
"01-0837128"|"Jencho Partnership Inc"|"1726249"|"To serve the youth and transform the ""at-nsk"" and homeless populations of Danbury by annually providing grants and volunteer and facility support to Christ-centered ministry agencies"|"N"|"N"|""|""|""|"2856240.0000"|""
"01-0484568"|"Oxford Hills Food Pantry"|"1726422"|"To collect and distribute food. To provide food to families and individuals experiencing emergency situations in the Oxford Hills Area."|"N"|"N"|""|""|""|"10713.0000"|""
"01-6016268"|"Tardiff Belanger Post #39, The Amencan Legion"|"1726423"|"Services to US Military veterans and their families. Support for local community activities. Support for local children and youth."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""
"01-0222130"|"Fairview Hospital, Inc"|"1726686"|"fairview Hospital Inc's Sole Mission is to Support and benefit recington fairview general Hospital, a 501(c)(3) Organization."|"N"|"N"|""|""|""|"30870.0000"|""
"01-0211485"|"Bangor Young Men's Christian Association"|"1727426"|"Form 990 - Organization's Mission or Most Significant Activities The Bangor YMCA is a community leader in supporting children, adults, and families in their lifelong quest for physical, emotional, and social wellness. We are committed to enriching, enhancing, and changing lives through our programs and services that promote youth development, healthy living, and social responsibility."|"N"|"N"|""|""|""|"3108913.0000"|"Y"
"01-0339969"|"Maine Society of CPA's"|"1727427"|""|"N"|"N"|""|""|""|""|""
"01-0617023"|"CENTER OF LIFE"|"1736141"|"Center of Life (COL) is a faith-based community empowerment organization that serves to strengthen families, children and youth in the greater Hazelwood community and other underserved neighborhoods throughout the Pittsburgh area our mission is to provide families with the life-skills, education,training, and resources necessary to thrive and make their communities strong for twelve years Center of Life has provided programs and services in music and arts, education"|"N"|"N"|""|"85454.0000"|""|"693366.0000"|"Y"
"01-0735797"|"HOMELAND PROTECTION INSTITUTE, LTD."|"1736142"|"To serve the public interest by spurring the rapid development and deployment of needed research applications and to address critical related policy, information management and education and"|"N"|"N"|""|""|""|"256551.0000"|"Y"
"01-0778873"|"EASTON MOUNTAIN, INC."|"1736143"|"Easton Mountain is a community, retreat center and sanctuary created by gay men as a gift to the world. in workshops, programs, and events, we provide opportunities to celebrate, heal, transform and integrate body, mind & spirit. We offer our land, rich in beauty and wisdom, as home to a community that extends beyond the land. We are a worldwide fellowship of people enriched by our connection to Easton Mountain. This fellowship is a positive force for change in the world."|"N"|"N"|""|""|""|"568449.0000"|""
"01-0851830"|"REGULATORY COMPLIANCE ASSOCIATION"|"1736144"|"The Regulatory Compliance Association (RCA) provides compliance officers, cfos, and coos with an all inclusive resource to effectively manage the escalating compliance environment"|"N"|"N"|""|""|""|"937666.0000"|""
"01-0921490"|"IDIGNITY INC"|"1736145"|"Through collaboration with government agencies, churches, and the community,idignity assists the poor in navigating the complexities of obtaining one's legal identification documents essential to accessing education, employment, healthcare, and housing"|"N"|"N"|""|""|""|"270845.0000"|""
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"1736146"|"National Medical Fellowship, Inc. 's (NMF) mission is to provide scholarships for underrepresented minorities in medicine and the health professions. Our primary goal is to achieve equity of opportunity in medicine and equity of access to quality healthcare for all groups in American society by increasing the number of minority physicians and changing the face of medicine to better reflect-and serve-our diverse nation."|"N"|"N"|""|""|""|"2988994.0000"|""
"01-6019452"|"AMERICAN LEGION LIBBY-MITCHELL POST 76"|"1736148"|"Community service & vets home"|"N"|"N"|""|""|""|""|""
"01-6254546"|"SEIU HEALTHCARE PA TRAINING & EDUCATION FUND"|"1736149"|"To provide training programs for eligible plan participants"|"N"|"N"|""|""|""|""|""
"02-0214073"|"AMERICAN LEGION ROBERT G DURGIN POST #6"|"1736150"|"The mission is to provide social and recreational activities for past and present members of the armed forces of the USA"|"N"|"N"|""|""|""|"107635.0000"|""
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"1742339"|"Preservation of historically significant buildings in Poland Spring and to educate visitors about Poland Springs history"|"N"|"N"|""|""|""|"102616.0000"|""
"01-0170013"|"SHRINERS INTERNATIONAL"|"1742404"|"Fraternity with a philanthropic mission"|"N"|"N"|""|""|""|""|""
"01-0211569"|"YWCA OF MOUNT DESERT ISLAND"|"1742405"|"The YWCA provides programs that eliminate racism and empower women, including affordable housing for women & girls, teen education, and activities for children."|"N"|"N"|""|""|""|"332293.0000"|""
"01-0238760"|"BRICK STORE MUSEUM INC"|"1742406"|"The mission of the Brick Store Museum is to ignite personal connections to history, art, and culture through exhibitions, education, and programs celebrating the human experience in the kennebunks and its surronding communities"|"N"|"N"|""|""|""|"89175.0000"|""
"01-0264870"|"CHRISTMAS COVE IMPROVEMENT ASSOCIATION"|"1742407"|"Promote social and recreation welfare of members the purpose of the association is to promote the social and recreational welfare of its members. It shall own and maintain in Christmas Cove an assembly hall known as the ""casino"", to be used for social gatherings and for meetings of the association and its officers in connection with the business of the association. It may extend its scope from time to time to provide facilities for participating in athletic games and to maintain a library."|"N"|"N"|""|""|""|"223199.0000"|""
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"1742408"|"Preservation of historically significant buildings in Poland Spring and to educate visitors about Poland Springs history"|"N"|"N"|""|""|""|"98914.0000"|""
"01-0416974"|"FRANNIE PEABODY CENTER"|"1742409"|"Frannie pea body center's mission is to prevent the spread of HIV and provide support for people living with HIV/AIDS in Maine"|"N"|"N"|""|""|""|"2245454.0000"|""
"01-0211513"|"THE JACKSON LABORATORY"|"1749256"|"We discover precise genomic solutions for disease and empower the global biomedical community in the shared quest to improve human health"|"N"|"N"|""|""|""|"180561265.0000"|"Y"
"01-0228578"|"SPRINGVALE SOCIAL CLUB"|"1749257"|"The organization provides a variety of social and recreational activities to its members the organization also provides spirits, wines, beverages and licensed gaming activities to members who wish to participate"|"N"|"N"|"0.0000"|"0.0000"|""|"166181.0000"|""
"01-0332278"|"BRADFORD HOUSING CORP"|"1749259"|"To operate a 16 unit lowincome housing project providing decent, safe,and sanitary housingto eligible individuals"|"N"|"N"|""|""|""|"198897.0000"|""
"01-0344891"|"FRANKLIN COUNTY ANIMAL SHELTER"|"1749260"|"Sheltering stray animals"|"N"|"N"|""|""|""|"340824.0000"|""
"01-0360077"|"NEW BEGINNINGS INC"|"1749261"|"To assist and advocate for people in crisis due to unstable or conflictive living situations, resulting in increased stability and more productive lives"|"N"|"N"|""|"68649.0000"|"24657.0000"|"1848545.0000"|"Y"
"01-0380271"|"WESTMAN VILLAGE INC"|"1749262"|"To provide 25 units of subsidized housing and 5 units of transitional housing"|"N"|"N"|""|""|""|"238582.0000"|""
"01-0488477"|"RIVERVIEW FOUNDATION"|"1749263"|"Imp rove the lives of child ren,teens and adults"|"N"|"N"|""|""|""|"409199.0000"|""
"01-0570543"|"EAST ARKANSAS ENTERPRISE COMMUNITY"|"1749264"|"Promote econcomic and social development programs- Eastern AR"|"N"|"N"|""|""|""|"1322804.0000"|""
"01-0572077"|"ENABLE AMERICA INC"|"1749265"|"To increase employment opportunities among people with disabilities through providing a single voice and service to community organizations, businesses and individuals with disabilities throughout the nation to develop partnerships with community organizations involved with the support,training and services needed by persons with disabilities, existing and prospective employers, educational institutions, civic groups and government agencies"|"N"|"N"|""|""|""|"231732.0000"|"Y"
"01-0187940"|"ROCKLAND CEMETERY ASSOCIATION"|"1759394"|"Acquiring, improving, and maintaining burial grounds"|"N"|"N"|""|""|""|""|""
"01-0533472"|"Tanglewood Camp and Learnmg Center"|"1759396"|"Providing environmental education"|"N"|"N"|""|""|""|"62335.0000"|""
"01-0634942"|"OHIO CAPITAL FINANCE CORPORATION"|"1759397"|"Provide financing in the form of loans, grants, and equity for purposes of providing housing, community development, and economic development to assist low-income communities."|"N"|"N"|""|""|""|"1958502.0000"|""
"01-0706736"|"AMERICAN EAGLE LIFECARE CORPORATION"|"1759398"|"The organization acquires, owns, maintains and ope rates nursing homes, senior living facilities and/or assisted living facilities and related facilities providing health care or other services to the elderly and infirm or disabled and/or disadvantaged persons throughout the United States the organization also develops and deploys educational pro grams and supporting research in the a re a of learning science and innovative educational pro grams and tools"|"N"|"N"|"552.0000"|"13605998.0000"|"16159413.0000"|"49186280.0000"|""
"01-0756141"|"Christian Youth Theater Denver Inc"|"1759399"|"CYT is dedicated to developing character in children and adults through training in the arts and by producing wholesome family entertainment, all of which reflect Judeo-Christian values"|"Y"|"N"|"0.0000"|"0.0000"|"0.0000"|"328226.0000"|"Y"
"01-0859843"|"National Museum of World War II Aviation Inc"|"1759400"|"The National Museum of World War II Aviation will provide unique educational experiences that promote a deeper understanding of the historical importance of American aviation in World War II and its role in shaping the world in which we live the museum does this to preserve and strengthen the best traditions of the American aviation past and inspire new generations of leaders and innovators in the future"|"N"|"N"|""|""|""|"486057.0000"|"Y"
"01-0974537"|"BRING CHANGE 2 MIND"|"1759401"|"Bc2m's mission is to eradicate the stigma and discrimination surrounding mental illness through widely distributed public education materials based on the latest scientific insights and measured for effectiveness bc2m also acts as a port alto a broad coalition of organizations that provide service, screening, in formation, support, and treatment of mental illness"|"N"|"N"|""|"45000.0000"|""|"355429.0000"|"Y"
"01-6029461"|"Local 1253 Health & Welfare Fund"|"1759402"|"The fund provides medical insurance, life insurance, disability, dental and other health benefits for eligible members and dependents"|"N"|"N"|""|""|""|""|""
"01-0531191"|"Caribou Economic Growth Council"|"1761446"|"To promote and develop the city of Caribou"|"N"|"N"|""|""|""|"110031.0000"|""
"01-0588077"|"DEMOCRATIC FARMER LABOR PARTY BUILDING FUND"|"1749266"|"Building was managed and all expenses paid by tenant"|"N"|"N"|""|""|""|""|""
"01-0637743"|"MOST VALUABLE KIDS INC"|"1749267"|"To foster educational and social achievement of underprivileged children"|"N"|"N"|""|""|""|"86744.0000"|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB"|"1749268"|"Operation of recreational golf and dining facilities for members"|"N"|"N"|""|""|""|"993029.0000"|""
"01-0693398"|"The Center Helping Obesity in Children End Successfully Inc"|"1749269"|"CHOICES is a grassroot organization"|"N"|"N"|"6629.0000"|"6666.0000"|""|"85858.0000"|"Y"
"01-0740393"|"THE RENAISSANCE SCHOOL"|"1749270"|"Provide exceptional educational experience for children 12 months to 12 years of age using montessori teaching principles"|"N"|"N"|""|""|""|"674468.0000"|""
"01-0801476"|"AFRICAN GENESIS CORRECTIVE HISTORY"|"1749271"|"To educate the youth on the history of Africa and to help build self esteem through cultural knowledge and experience"|"N"|"N"|""|""|""|"160540.0000"|"Y"
"01-0824387"|"STOP THE SILENCE: STOP CHILD SEXUAL ABUSE, INC."|"1749272"|"Working with others toward the prevention and treatment of Child Sexual Abuse"|"N"|"N"|""|""|""|"62982.0000"|""
"01-0824477"|"JESUS TEAM MINISTRIES INC"|"1749273"|"Christian Church"|"N"|"N"|""|""|""|""|"Y"
"01-0842491"|"Old Rochester Community Television Inc"|"1749274"|"Providing public educational and government access television"|"N"|"N"|""|""|""|"278534.0000"|""
"01-0867393"|"CR JRS CHIP"|"1749275"|"To impact the lives of young people by providing educational programs that build character, in still life- enhancing values and promote healthy choices through the game of golf"|"N"|"N"|""|""|""|"455887.0000"|""
"01-0955391"|"LITTLE BEANS PRESCHOOL CORPORATION"|"1749276"|"The curriculum is built around teacher and child initiated learning activities in 5 main content areas approaches to learning, language, literacy & communications, social and emotional development, physical development, health and well being, and arts and sciences Teachers and students are active partners in shaping the educational experience"|"N"|"N"|""|""|""|"301294.0000"|""
"01-6014288"|"KENNEBUNKPORT HISTORICAL SOCIETY"|"1749277"|"To preserve local history so that succeeding generations may benefit from knowledge of the past"|"N"|"N"|""|""|""|"81440.0000"|""
"01-0545327"|"Penobscot Valley Hospital"|"1754553"|"Penobscot Valley Hospital exists to provide quality healthcare and to serve as an educational and referral resource that meets our customer's needs by providing approprate services, providing health related information, and making arrangements for additional health services PVH provides vital services to the community with are not accessible in any other way to many of our patients due to geographical or transportation"|"N"|"Y"|""|""|""|"22351256.0000"|"Y"
"01-0595129"|"CALIFORNIA ISSUES FORUM"|"1754554"|"Promote social welfare by educating the public and providing a forum to discuss topical issues of community interest"|"N"|"N"|""|""|""|"565959.0000"|""
"01-0661535"|"SD PROPERTIES INC"|"1754555"|"The primary purpose of SD Properties, Inc is to acquire property and title for an intergovernmental organization located in the state of Wisconsin"|"N"|"N"|""|""|""|"295709.0000"|""
"01-0687133"|"GOLISANO CHILDREN'S MUSEUM OF NAPLES INC"|"1754556"|"To provide an exciting, inspiring environment where children and their families play, learn and dream together"|"N"|"N"|""|""|""|"2381697.0000"|""
"01-0918435"|"BASEL ACTION NETWORK"|"1754559"|"Basel Action Network prevents the globalization of the toxic chemical crisis from toxic trade we promote global environmental justice and a toxics-free future where no peoples or environments are poisoned or polluted due to callous disregard or market forces"|"N"|"N"|""|""|""|"712098.0000"|"Y"
"01-0920313"|"IMPACT PERSONAL SAFETY, INC."|"1754560"|"The mission of Impact Personal Safety is to end the cycle of violence in society by empowering women, children, and men with the self-esteem and the tools necessary to take control of their lives through self-defense, boundary setting and the understanding that your life is worth fighting for."|"N"|"N"|""|""|""|"164806.0000"|"Y"
"01-0927327"|"ELECTRIFICATION COALITION FOUNDATION"|"1754561"|"The Electrification Coalition Foundation is a nonpartisan, 501(C)(3) organization committed to promoting actions that facilitate the deployment of electric vehicles on a mass scale in order to combat the economic, environmental, and national security dangers caused by our nation's dependence on petroleum. The foundation seeks to achieve its goals through a combination of public policy research, analysis, publication, public engagement, and media outreach."|"N"|"N"|""|""|""|"1638735.0000"|"Y"
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"1754562"|"Open Identity Exchange (oix) is a not-for-profit corporation organized exclusively to further the promotion of the common business interests of its members including (1) collecting, aggregating, and distributing information regarding the identity-related services industry to"|"N"|"N"|""|""|""|""|"Y"
"01-0039552"|"CAMDEN YACHT CLUB"|"1754548"|"Purpose of promoting all aspects of boating by providing:facilities to support operational needs, programs related to social and educational activities afloat & ashore. As a member of the wider community, CYC, at its discretion makes available certain programs for the benefit of non-members."|"N"|"N"|""|""|""|""|"Y"
"01-0140290"|"PINE GROVE CEMETERY CORPORATION"|"1754549"|"Cemetery association \"|"N"|"N"|""|""|""|"115741.0000"|""
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"1754550"|"PARKVIEW ADVENTIST MEDICAL CENTER, IN OUR COMMITMENT TO THE COMMUNITY WE SERVE, EXISTS TO REFLECT THE LOVING COMPASSIONATE LIFE AND WORK OF JESUS CHRIST, WHOSE TOTAL MISSION WAS TO OFFER WHOLENESS TO PEOPLE PHYSICIALLY, EMOTIONALLY AND SPIRITUALLY"|"N"|"N"|""|"24360.0000"|""|"36636488.0000"|"Y"
"01-0372429"|"Falmouth ConservationTrust"|"1754551"|"Land conservation and conservation education"|"N"|"N"|""|""|""|"26259.0000"|""
"01-0528831"|"Waterfall Arts"|"1754552"|"Providing access to the arts, design and creative collaborations for all ages and abilities throughout the Belfast and Montville communities in Waldo County, Maine"|"N"|"N"|""|""|""|"266290.0000"|""
"01-0471151"|"REGULATORY ASSISTANCE PROJECT"|"1767654"|"The Regulatory Assistance Project (RAP) is a global non-profit that focuses on the long-term economic and environmental sustainability of the power sector and related segments of the economy we provide technical and policy assistance to government officials on a broad range of energy and environmental issues, seeking to deliver two major outcomes 1) a reduction of the environmental impacts of energy production."|"N"|"N"|""|"2635905.0000"|"126395.0000"|"9411158.0000"|"Y"
"01-0544956"|"Hygeia Foundation"|"1767655"|"To research alternate healthcare delivery systems and inspire individuals to live healthier lives through integrative care, education, and research"|"N"|"N"|""|""|""|"790858.0000"|"Y"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"1767656"|"To bring healing and restoration to pastoral couples, missionaries and ministry leaders who are wounded due to full-time ministry anywhere in the world where there is an un met need"|"N"|"N"|""|""|""|"332084.0000"|""
"01-0959104"|"ESAN ASSOCIATION OF MICHIGAN, USA"|"1769757"|"Provide help to the poor and needy in Nigeria and USA mostly in Mlchigan, Ohio and their environs To organize relief to natural disaster victims, provide educational, Language and Cultural activities & workshop to the general public"|"Y"|"N"|"1650.0000"|"1650.0000"|""|"4567.0000"|"Y"
"01-0959104"|"ESAN ASSOCIATION OF MICHIGAN, USA"|"1769761"|"Provide help to the poor and needy in Nigena and U S A mostly in Mlchigan, Ohio and their environs To organize relief to natural disaster victims, provide educational, Language and Cultural activities & workshop to the general public"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"2300.0000"|""
"01-0316813"|"Tri-County Mental Health Services"|"1769765"|"To promote mental health, reduce substance abuse & develop the potential of persons with mental illness & intellectual disabilities in the State of Maine by providing effective mental health, substance abuse, mental illness & intellectual services, relevant educational"|"N"|"N"|""|"5170934.0000"|"4068.0000"|"17097117.0000"|"Y"
"01-0451523"|"HEALTHY KIDS A FAMILY RESOURCE NETWORK"|"1769766"|"Healthy Kids is a community based Family Resource Network, offering support and educational outreach to families throughout Lincoln County. Since 1985, Healthy Kids has worked to enhance and improve the lives of children and parents, providing a wide variety of"|"N"|"N"|""|""|""|"139471.0000"|"Y"
"01-0079380"|"CPORT CREDIT UNION"|"1763472"|"Provide members with savings and loan services"|"N"|"N"|""|""|""|"6270307.0000"|""
"01-0216888"|"WOLVES SOCIAL CLUB"|"1763473"|""|"N"|"N"|""|""|""|""|""
"01-0451745"|"St Croix International Waterway Commission"|"1763475"|"The Commission facilitates the international implementation of a"|"N"|"N"|""|""|""|"129755.0000"|""
"01-0476545"|"COASTAL MAINE BOTANICAL GARDENS INC"|"1763476"|"The mission of Coastal Maine Botanical Gardens is to protect, preserve, and enhance the botanical heritage and natural landscapes of Coastal Maine for people of all ages through horticulture, education and research"|"N"|"N"|""|""|""|"2238807.0000"|"Y"
"01-0506743"|"SANDCASTLE CLINICAL AND EDUCATIONAL SERVICES"|"1763477"|"The mission of the Sandcastle Clinical and Educational Services is to provide a full range of Clinical and Educational Services to individuals of all ages and abilities"|"N"|"N"|""|"447857.0000"|"202255.0000"|"1323738.0000"|"Y"
"01-0514750"|"PENOBSCOT COMMUNITY HEALTH CENTER"|"1763478"|"Penobscot Community Health Center (PCHC) is a non-profit organization incorporated in 1997 that is governed by a board of community volunteers and is the largest federally qualified Health Center in Maine PCHC is driven by its mission of ""providing access to patient-centered, high-quality, comprehensive, integrated, health care services."|"N"|"N"|""|"16635351.0000"|""|"50083703.0000"|"Y"
"01-0550350"|"Regents Academy of Nacogdoches"|"1763479"|"To seve Nacogdoches and the surrounding communities with a high quality, accelerated college preparatory education based on a historically proven and successful classical educational model with a Christian worldview that prepares graduates to become thoughtful, life-long learners that can effectively articulate their thoughts and perspectives"|"N"|"N"|""|""|""|"432996.0000"|""
"01-0826246"|"CALIFORNIA COUNCIL OF LAND TRUSTS"|"1763482"|"CCLT's mission is to build a statewide land trust community equal to the challenge and privilege of conserving our extraordinary land and water resources for all californians."|"N"|"N"|""|"42893.0000"|"22.0000"|"551416.0000"|"Y"
"01-0688879"|"FUZZY'S CHARITIES INC"|"1776231"|"To provide financial assistance for the health, educational and welfare needs of children."|"N"|"N"|""|""|""|"81559.0000"|""
"01-0688879"|"FUZZY'S CHARITIES INC"|"1776240"|"To provide financial assistance for the health, educational and welfare needs of children."|"N"|"N"|""|""|""|""|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"1765767"|"The Associatoin's Mission is to"|"N"|"N"|""|""|""|"235382.0000"|""
"01-0566012"|"ANAHUAK YOUTH SOCCER ASSOCIAT"|"1765811"|"Provide Soccer Education and Training to Inner City Children's Year Round"|"N"|"N"|""|""|""|"204215.0000"|"Y"
"01-0212181"|"OLD ORCHARD BEACH CHAMBER OF COMMERCE"|"1767651"|"The organization defines and develops activities and programs to expand business opportunities and economic activity in and around the Old Orchard Beach area. The organization is also a vehicle through which resources can be marshaled to promote and maintain a favorable quality of life for citizens and visitors alike."|"N"|"N"|""|""|""|""|"Y"
"01-0354752"|"Lincolnville Volunteer Fire Department"|"1767652"|"Support the Town of Lincolnville, Maine Fire Department and other public safety organizations"|"N"|"N"|""|""|""|"78081.0000"|""
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"1767653"|"19th Century Willowbrook's mission is to collect, preserve and exhibit 19th century artifacts and historic buildings and use these as an educational tool to showhow people lived in 19th century rural Maine/New England"|"N"|"N"|""|""|""|"127183.0000"|""
"01-0959104"|"ESAN ASSOCIATION OF MICHIGAN, USA"|"1769786"|"Provide help to thepoor and needy in Nigeria and USA mostly in Michigan, Ohio and their environs To organize relief to natural disaster victims, provide educational, Language and Cultural activities & workshop to the general public"|"N"|"N"|"0.0000"|"0.0000"|""|"11000.0000"|""
"01-0717788"|"PROVIDING AUTISM LINKS & SUPPORT INC"|"1778819"|"PALS mission is to optimize positive outcomes for"|"N"|"N"|""|"3653.0000"|"18.0000"|"176394.0000"|"Y"
"01-0659863"|"Raw Inspiration Inc"|"1770793"|"Raw Inspiration's mission is to educate children and adults on the importance of a healthy diet, especially on the importance of eating fresh fruits and vegetables daily This is in conjunction with a good exercise regime as well To this end, Raw Inspiration was established to be a publicly supported, not-for-profit organization that provides grants and awards to schools for the purposes of installing organic gardens and orchards on the schools premises With the successful implementation"|"N"|"N"|""|""|""|"646092.0000"|""
"01-0735741"|"Fauna Sanctuary Inc"|"1770795"|"To provide for the humane treatment of former entertainment and biomedical research chimpanzees"|"N"|"N"|""|""|""|"7974.0000"|""
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"1770796"|"NATIONWIDE CHILDREN'S HOSPITAL (NCH) BELIEVES THAT NO CHILD SHOLULD BE REFUSED NECESSARY CARE AND ATTENTION FOR LACK OF ABILITY TO PAY UPON THIS FUNDAMENTAL BELIEF, NCHIS COMMITTED TO PROVIDING THE HIGHEST QUALITY PATIENT CARE ADVOCACY FOR CHILDREN AND FAMILIES, PEDIATRIC RESEARCH, EDUCATION OF PATIENTS, FAMILIES AND FUTURE PROVIDERS, AND OUTSTANDING SERVICE TO ACCOMMODATE THE NEEDS OF PATIENTS AND FAMILIES"|"N"|"N"|"2764439.0000"|"4800703.0000"|"0.0000"|"899580276.0000"|"Y"
"02-0213403"|"VETERANS OF FOREIGN WARS OF THE US VFS-NH"|"1769267"|"Support of VFW programs through district and state departments as well as community projects and activities"|"N"|"N"|""|""|""|""|""
"01-0796859"|"MONTEFIORE NORTH AMBULATORY CARE CENTER, INC."|"1770797"|"To operate and maintain a diagnostic and treatment center to heal, to teach, to discover and to advance the health of the communities we serve."|"N"|"N"|""|""|""|"5304382.0000"|""
"01-0801061"|"Fort Worth HOPE Center"|"1770798"|"The HOPE Center's mission is to ""Fight Hunger and Feed HOPE"" to families living in poverty. Accordingly, we provide [1] groceries and household goods to families in need, and J2JJob training and placement for the unemployed, including many related services to help people find work."|"N"|"N"|""|""|""|"3726149.0000"|"Y"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"1774757"|"Phillips Exeter Academy, an independent secondary school, continues the commitment to unite goodness and knowledge with a total enrollment of more than 1,000 students approximately 80 percent of whom are boarders and 20 percent of whom are day students, the school seeks young people who combine proven academic ability, intellectual curiosity, and tenacity with decency and good character at the academy, exacting inquiry and thoughful discourse foster teh life of teh mind"|"N"|"N"|""|""|""|"90215457.0000"|"Y"
