"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"DBA"|"PHONE"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PERIOD_BEGIN"|"PERIOD_END"|"CHANGE_ADDR_CBX"|"CHANGE_NAME_CBX"|"INIT_RET_CBX"|"FINAL_RET_CBX"|"APP_PEND_CBX"|"PRINCIPAL_NAME"|"RECEIPT_TOT"|"TYPE"|"WEB"|"ORG_TYPE_CORPORATION_CBX"|"ORG_TYPE_TRUST_CBX"|"ORG_TYPE_ASSOCIATION_CBX"|"ORG_TYPE_OTHER_CBX"|"ORG_TYPE"|"FORMATION_YEAR"|"LEGAL_DOM"|"GROUP_RET_STATUS_CBX"|"GROUP_RET_ALL_AFFIL_CBX"|"GROUP_RET_GEN"|"LAST_MODIFIED"|"Prefix"|"FirstName"|"MiddleName"|"LastName"|"Suffix"|"Gender"|"ParseNameFlag"
"01-0725409"|"AMERICAN PILGRIMS ON THE CAMINO"|"1716652"|"Y"|"AMERICAN PILGRIMS ON THE CAMINO"|""|"310-850-3443"|""|"1514 CHANNING AVENUE"|""|"PALO ALTO"|"CA"|"USA"|"94303"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"ANN HOWLEY"|"142472.0000"|"03"|"WWW.AMERICANPILGRIMS.COM"|""|""|"Y"|""|""|"2003"|"CA"|"N"|"N"|""|"4/13/2015 7:05:56 PM"|""|"Ann"|""|"Howley"|""|"Female"|"True"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"1716653"|"N"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|""|"323-761-8700"|"JEWISH COMM FDN"|"6505 WILSHIRE BLVD"|"1200"|"LOS ANGELES"|"CA"|"USA"|"90048"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"MARVIN SCHOTLAND"|"364395.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"CA"|"N"|""|""|"4/13/2015 7:06:05 PM"|""|"Marvin"|""|"Schotland"|""|"Male"|"True"
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"1716655"|"Y"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|""|"518-649-1000"|""|"257 FULLER ROAD"|"2200"|"ALBANY"|"NY"|"USA"|"12203"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"RONALD GOLDBLATT"|"6652790.0000"|"06"|"WWW.ISMI.SEMATECH.ORG"|"Y"|""|""|""|""|"2003"|"DE"|"N"|""|""|"4/13/2015 7:06:23 PM"|""|"Ronald"|""|"Goldblatt"|""|"Male"|"True"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"1716656"|"N"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|""|"512-637-4272"|""|"12325 HYMEADOW DR"|"2-200"|"AUSTIN"|"TX"|"USA"|"78750"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|"Y"|""|""|""|""|"PAUL PREISS"|"826216.0000"|"06"|"WWW.IASAGLOBAL.ORG"|"Y"|""|""|""|""|"2004"|"TX"|"N"|""|""|"4/13/2015 7:06:32 PM"|""|"Paul"|""|"Preiss"|""|"Male"|"True"
"01-0890941"|"LAHAK HANOCHOS INC"|"1716657"|"N"|"LAHAK HANOCHOS INC"|""|"917-208-3470"|""|"1335 CARROLL STREET"|""|"BROOKLYN"|"NY"|"USA"|"11213"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"968232.0000"|"03"|""|"Y"|""|""|""|""|"2007"|"NY"|"N"|""|""|"4/13/2015 7:06:41 PM"|""|""|""|""|""|""|""
"01-6004404"|"United Way of Kennebec Valley"|"1716658"|"Y"|"United Way of Kennebec Valley"|""|"207-626-3400"|""|"121 Commercial Street"|""|"Augusta"|"ME"|"USA"|"04330"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Robert Gordon"|"1540326.0000"|"03"|"www.unitedwaykennebecvalley.org"|"Y"|""|""|""|""|"1955"|"ME"|"N"|""|""|"4/13/2015 7:06:50 PM"|""|"Robert"|""|"Gordon"|""|"Male"|"True"
"01-0856707"|"MONGIL CORPORATION"|"1723583"|"N"|"MONGIL CORPORATION"|""|"908-298-3820"|""|"1425 DILL AVENUE"|""|"LINDEN"|"NJ"|"USA"|"07036"|"10/1/2012 12:00:00 AM"|"9/30/2013 12:00:00 AM"|""|""|""|""|""|"MONGIL CORPORATION"|"700533.0000"|"03"|""|"Y"|""|""|""|""|""|""|"N"|""|""|"4/14/2015 12:52:21 PM"|"Mongil co"|"Mongil"|""|"Corporation"|""|"Unknown"|"True"
"01-0215913"|"BUCK MEMORIAL LIBRARY"|"1724067"|"N"|"BUCK MEMORIAL LIBRARY"|""|"207-469-3328"|""|"PO BOX 640"|""|"BUCKSPORT"|"ME"|"USA"|"04416"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"63663.0000"|"03"|""|""|"Y"|""|""|""|""|"ME"|"N"|""|""|"4/15/2015 1:08:00 PM"|""|""|""|""|""|""|""
"01-0561114"|"POST TRANSPLANT FOUNDATION"|"1724068"|"N"|"POST TRANSPLANT FOUNDATION"|""|"408-378-2784"|""|"1072 S DE ANZA BLVD."|"A107"|"SAN JOSE"|"CA"|"USA"|"95129"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"VICKY S LYLES"|"3368.0000"|"03"|"WWW.POST-TRANSPLANT.ORG"|"Y"|""|""|""|""|"2003"|"CA"|"N"|""|""|"4/15/2015 1:08:23 PM"|""|"Vicky"|"S"|"Lyles"|""|"Female"|"True"
"01-0127336"|"NEW AUBURN SOCIAL CLUB INC"|"1724967"|"Y"|"NEW AUBURN SOCIAL CLUB INC"|""|""|""|"7 SECOND ST"|""|"AUBURN"|"ME"|"USA"|"04210-6847"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"LEROY WALKER"|"358696.0000"|"07"|""|"Y"|""|""|""|""|"1937"|"ME"|"N"|""|""|"4/15/2015 2:49:25 PM"|""|"Leroy"|""|"Walker"|""|"Male"|"True"
"01-0416936"|"Vinalhaven Land Trust Inc"|"1724968"|"Y"|"Vinalhaven Land Trust Inc"|""|"207-863-2543"|""|"POB 268"|""|"Vinalhaven"|"ME"|"USA"|"04863"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"1523661.0000"|"03"|"www.vinalhavenlandtrust.org"|"Y"|""|""|""|""|"1986"|"ME"|"N"|"N"|""|"4/15/2015 2:49:33 PM"|""|""|""|""|""|""|""
"01-0445336"|"Pope Memorial Humane Society of Knox Co."|"1724969"|"N"|"Pope Memorial Humane Society of Knox Co."|""|"207-594-2200"|""|"P O Box 1294"|""|"Rockland"|"ME"|"USA"|"04841"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Pope Memorial Humane Society of Knox Co."|"1222891.0000"|"03"|"www.humanesocietyofknoxcounty.org"|""|""|""|""|""|""|""|"N"|""|""|"4/15/2015 2:49:42 PM"|"Pope"|"Memorial"|"Humane"|"Society"|"Of knoxco."|"Unknown"|"False"
"01-0527319"|"Northern Maine Independent System Administrator Inc"|"1724970"|"Y"|"Northern Maine Independent System Administrator Inc"|""|"207-992-4721"|""|"77 Exchange Street"|"402"|"Bangor"|"ME"|"USA"|"04401"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Ken Belcher"|"1267345.0000"|"03"|"www.nmisa.com"|"Y"|""|""|""|""|"1999"|"ME"|"N"|""|""|"4/15/2015 2:49:50 PM"|""|"Ken"|""|"Belcher"|""|"Male"|"True"
"01-0679411"|"AMERICAN FRIENDS OF RETORNO"|"1724971"|"Y"|"AMERICAN FRIENDS OF RETORNO"|""|"718-208-4272"|""|"CO ISAAC HURWITZ, 638 MONTGOMERY STREET"|""|"BROOKLYN"|"NY"|"USA"|"11225"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"ISAAC HURWITZ"|"50554.0000"|"03"|"WWW.RETORNO.ORG"|"Y"|""|""|""|""|"2002"|"NY"|"N"|""|""|"4/15/2015 2:49:58 PM"|""|"Isaac"|""|"Hurwitz"|""|"Male"|"True"
"01-0752319"|"PITTSBURGH REGIONAL HEALTHCARE INITIATIVE"|"1724972"|"Y"|"PITTSBURGH REGIONAL HEALTHCARE INITIATIVE"|""|"412-586-6700"|""|"CENTRE CITY TOWER 650 SMITHFIELD ST"|"2400"|"PITTSBURGH"|"PA"|"USA"|"15222"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"KAREN W FEINSTEIN"|"6456070.0000"|"03"|"WWW.PRHI.ORG"|"Y"|""|""|""|""|"2002"|"PA"|"N"|""|""|"4/15/2015 2:50:07 PM"|""|"Karen"|"W"|"Feinstein"|""|"Female"|"True"
"01-0367791"|"United Perenscot Housing, Inc."|"1726184"|"N"|"United Perenscot Housing, Inc."|""|"207-729-8006"|""|"36 Peienscot Terrace"|""|"Brunswick"|"ME"|"USA"|"04011"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|"Y"|""|""|""|""|"03"|"www.neiepscotterrace.com"|"Y"|""|""|""|""|"1977"|"ME"|"N"|"N"|""|"4/15/2015 7:48:28 PM"|""|""|""|""|""|""|""
"01-0263385"|"Thomas College"|"1726247"|"Y"|"Thomas College"|""|"207-859-1111"|""|"180 West River Road"|""|"Waterville"|"ME"|"USA"|"04901"|"7/1/2012 12:00:00 AM"|"6/30/2013 12:00:00 AM"|""|""|""|""|""|"Laurie Lachance"|"28356438.0000"|"03"|"www.thomas.edu"|"Y"|""|""|""|""|"1894"|"ME"|"N"|"N"|"3913"|"4/15/2015 11:44:39 AM"|""|"Laurie"|""|"Lachance"|""|"Unknown"|"True"
"01-0603628"|"LEARNINGSPRING SCHOOL"|"1726248"|"Y"|"LEARNINGSPRING SCHOOL"|""|"212-239-4926"|""|"247 EAST 2OTH STREET"|""|"NEW YORK"|"NY"|"USA"|"10003"|"7/1/2012 12:00:00 AM"|"6/30/2013 12:00:00 AM"|""|""|""|""|""|"MARGARET POGGI"|"52175314.0000"|"03"|"WWW.LEARNINGSPRING.ORG"|"Y"|""|""|""|""|"2001"|"NY"|"N"|""|""|"4/15/2015 11:45:54 AM"|""|"Margaret"|""|"Poggi"|""|"Female"|"True"
"01-0837128"|"Jencho Partnership Inc"|"1726249"|"Y"|"Jencho Partnership Inc"|""|"203-791-1180"|""|"13 Rose Street"|""|"Danbury"|"CT"|"USA"|"06810"|"9/1/2012 12:00:00 AM"|"8/31/2013 12:00:00 AM"|""|""|""|""|""|"Carrie Amos"|"3533510.0000"|"03"|"http://www.jerichopartnership.org"|"Y"|""|""|""|""|"2003"|"CT"|"N"|""|""|"4/15/2015 11:46:53 AM"|""|"Carrie"|""|"Amos"|""|"Female"|"True"
"01-0484568"|"Oxford Hills Food Pantry"|"1726422"|"N"|"Oxford Hills Food Pantry"|"Oxford Hills Food Pantry"|"207-743-8430"|""|"35 Paris Street"|""|"Norway"|"ME"|"USA"|"04268"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Elizabeth Rice"|"11717.0000"|"03"|""|"Y"|""|""|""|""|"2012"|"ME"|"N"|""|""|"4/15/2015 7:50:21 PM"|""|"Elizabeth"|""|"Rice"|""|"Female"|"True"
"01-6016268"|"Tardiff Belanger Post #39, The Amencan Legion"|"1726423"|"N"|"Tardiff Belanger Post #39, The Amencan Legion"|""|"207-696-5848"|""|"PO Box 144"|""|"Madison"|"ME"|"USA"|"04950"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"H Ralph Withee"|"408715.0000"|"19"|"www.mainepost39.com"|"Y"|""|""|""|""|"1948"|"ME"|"N"|"Y"|""|"4/15/2015 7:50:31 PM"|""|"Ralph"|"H"|"Withee"|""|"Male"|"True"
"01-0222130"|"Fairview Hospital, Inc"|"1726686"|"N"|"Fairview Hospital, Inc"|""|"207-474-5121"|""|"46 fairview"|""|"Skowhegan"|"ME"|"USA"|"04976-0468"|"7/1/2012 12:00:00 AM"|"6/30/2013 12:00:00 AM"|""|""|""|""|""|"Richard O. Willett"|"1749803.0000"|"03"|""|"Y"|""|""|""|""|"1952"|"MA"|"N"|""|""|"4/15/2015 12:28:55 PM"|""|"Richard"|"O"|"Willett"|""|"Male"|"True"
"01-0736063"|"Mc Closkey Family Foundation Inc"|"1727237"|"Y"|"Mc Closkey Family Foundation Inc"|""|"203-775-0859"|""|"6 Mist Hill Drive"|""|"Brookfield"|"CT"|"USA"|"06804"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"56241.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"CT"|"N"|"N"|""|"4/15/2015 8:57:56 PM"|""|""|""|""|""|""|""
"01-0211485"|"Bangor Young Men's Christian Association"|"1727426"|"N"|"Bangor Young Men's Christian Association"|"Bangor Y"|"207-941-2808"|""|"17 Second Street"|""|"Bangor"|"ME"|"USA"|"04401"|"10/1/2012 12:00:00 AM"|"9/30/2013 12:00:00 AM"|""|"Y"|""|""|""|"Danielle Berube"|"3786939.0000"|"03"|"www.bangory.org"|"Y"|""|""|""|""|"1909"|"ME"|"N"|""|""|"4/16/2015 10:25:01 AM"|""|"Danielle"|""|"Berube"|""|"Female"|"True"
"01-0339969"|"Maine Society of CPA's"|"1727427"|"N"|"Maine Society of CPA's"|""|"207-883-6090"|""|"153 US Rte 1"|""|"Scarborough"|"ME"|"USA"|"04074"|"6/1/2012 12:00:00 AM"|"5/31/2013 12:00:00 AM"|""|""|""|""|""|"Wendy Whiting Denison"|"480564.0000"|"06"|"www.mecpa.org"|"Y"|""|""|""|""|""|""|"N"|""|""|"4/16/2015 10:25:22 AM"|""|"Wendy"|"Whiting"|"Denison"|""|"Female"|"True"
"01-0211784"|"CAMP KETCHA"|"1728730"|"N"|"CAMP KETCHA"|"NON-PROFIT"|"207-883-8977"|""|"336 BLACK POINT ROAD"|""|"SCARBOROUGH"|"ME"|"USA"|"04074"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|"Y"|""|""|""|"THOMAS DOHERTY"|"1076987.0000"|"03"|"WWW.CAMPKETCHA.ORG"|"Y"|""|""|""|""|"1964"|"ME"|"N"|""|""|"4/17/2015 11:23:04 AM"|""|"Thomas"|""|"Doherty"|""|"Male"|"True"
"01-0287624"|"HOME INC"|"1728731"|"Y"|"HOME INC"|""|"207-469-7961"|""|"P O BOX 10"|""|"ORLAND"|"ME"|"USA"|"04472"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"LUCY POULIN"|"1816299.0000"|"03"|"WWW.HOMECOOP.NET"|"Y"|""|""|""|""|"1970"|"ME"|"N"|"N"|""|"4/17/2015 11:23:14 AM"|""|"Lucy"|""|"Poulin"|""|"Female"|"True"
"01-0382451"|"WHITNEY BROOKSIDE CORPORATION"|"1728732"|"Y"|"WHITNEY BROOKSIDE CORPORATION"|""|"207-597-2442"|""|"PO BOX 482"|""|"CANTON"|"ME"|"USA"|"04221"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"GARY DOUGHERTY"|"209076.0000"|"03"|""|"Y"|""|""|""|""|"1982"|"ME"|"N"|""|""|"4/17/2015 11:23:22 AM"|""|"Gary"|""|"Dougherty"|""|"Male"|"True"
"01-0531224"|"FIVE GRAHAM STREET"|"1728733"|"Y"|"FIVE GRAHAM STREET"|""|"207-553-7777"|""|"CO AVESTA HOUSING, 307 CUMBERLAND AVENUE"|""|"PORTLAND"|"ME"|"USA"|"04101"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"DANA TOTMAN"|"211661.0000"|"03"|""|"Y"|""|""|""|""|"1999"|"ME"|"N"|""|""|"4/17/2015 11:23:30 AM"|""|"Dana"|""|"Totman"|""|"Unknown"|"True"
"01-0549750"|"FLORIDA ASSISTED LIVING AFFILIATION INC"|"1728735"|"Y"|"FLORIDA ASSISTED LIVING AFFILIATION INC"|""|"850-383-1159"|""|"2447 MILLCREEK COURT"|"3"|"TALLAHASSEE"|"FL"|"USA"|"32308"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"SHADRICK HASTON"|"983923.0000"|"06"|"WWW.FALAUSA.COM"|"Y"|""|""|""|""|"2002"|"FL"|"N"|""|""|"4/17/2015 11:23:36 AM"|""|"Shadrick"|""|"Haston"|""|"Unknown"|"True"
"01-0598053"|"Sears Brazos Retirement Corporation"|"1728736"|"N"|"Sears Brazos Retirement Corporation"|"Wesley Woods Alzheimer's Care Ce"|"325-691-5519"|""|"One Village Drive"|"400"|"Abilene"|"TX"|"USA"|"79606"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Susan Whittle"|"0.0000"|"03"|"www.sears-methodist.org"|"Y"|""|""|""|""|"2002"|"TX"|"N"|""|""|"4/17/2015 11:23:44 AM"|""|"Susan"|""|"Whittle"|""|"Female"|"True"
"01-0606353"|"MIDWEST REGION LABORERS'-EMPLOYERS' COOPERATION & EDUCATION TRUST"|"1728737"|"N"|"MIDWEST REGION LABORERS'-EMPLOYERS' COOPERATION & EDUCATION TRUST"|""|"217-789-4306"|""|"1 NORTH OLD STATE CAPITOL PLAZA"|"525"|"SPRINGFIELD"|"IL"|"USA"|"62701"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"JOHN PENN"|"1044811.0000"|"05"|"WWW.MIDWESTLECET.ORG"|""|"Y"|""|""|""|"2002"|"IL"|"N"|""|""|"4/17/2015 11:24:14 AM"|""|"John"|""|"Penn"|""|"Male"|"True"
"01-0684347"|"IN ARMS REACH INC"|"1728738"|"Y"|"IN ARMS REACH INC"|""|"212-650-5894"|""|"160 CONVENT AVENUE"|""|"NEW YORK"|"NY"|"USA"|"10031"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"TERRENCE STEVENS"|"222044.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"NY"|"N"|""|""|"4/17/2015 11:24:23 AM"|""|"Terrence"|""|"Stevens"|""|"Male"|"True"
"01-0710884"|"CHRISTIAN OUTDOOR ALLIANCE INC"|"1728739"|"Y"|"CHRISTIAN OUTDOOR ALLIANCE INC"|""|""|""|"165 BOBBIE LYNN"|""|"HARPER"|"TX"|"USA"|"78631"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"MICHAEL MARBACH"|"1024469.0000"|"03"|"WWW.MYCOA.ORG"|"Y"|""|""|""|""|"2002"|"TX"|"N"|""|""|"4/17/2015 11:24:32 AM"|""|"Michael"|""|"Marbach"|""|"Male"|"True"
"01-0729151"|"HEALTHPLUS PARTNERS INC"|"1728740"|"Y"|"HEALTHPLUS PARTNERS INC"|""|"810-230-2192"|""|"2050 S Linden Rd"|""|"FLINT"|"MI"|"USA"|"48532"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Bruce Hill"|"168740283.0000"|"04"|"www.healthplus.org"|"Y"|""|""|""|""|"2002"|"MI"|"N"|""|""|"4/17/2015 11:24:41 AM"|""|"Bruce"|""|"Hill"|""|"Male"|"True"
"01-0730325"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|"1728741"|"N"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|""|"404-307-8074"|""|"4403 NORTHSIDE PARKWAY, N.W."|"1103"|"ATLANTA"|"GA"|"USA"|"30327"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"SCOTT D. HAWKINS"|"1311516.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"GA"|"N"|""|""|"4/17/2015 11:24:51 AM"|""|"Scott"|"D"|"Hawkins"|""|"Male"|"True"
"01-0803184"|"CHRIST ENRICHMENT CENTER INC"|"1728742"|"Y"|"CHRIST ENRICHMENT CENTER INC"|""|"810-239-9425"|""|"322 E HAMILTON AVE"|""|"FLINT"|"MI"|"USA"|"48505"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"DANIELLE BROWN"|"281179.0000"|"03"|"WWW.CHRISTENRICHMENTCENTER.ORG"|"Y"|""|""|""|""|""|""|"N"|""|""|"4/17/2015 11:25:00 AM"|""|"Danielle"|""|"Brown"|""|"Female"|"True"
"01-0884383"|"MILAGRE KIDS SCHOOLS INC"|"1728743"|"Y"|"MILAGRE KIDS SCHOOLS INC"|""|"215-627-7038"|""|"20 RORER AVENUE"|""|"HATBORO"|"PA"|"USA"|"19040"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"PATRICIA CUCE"|"950876.0000"|"03"|"WWW.MILAGREKIDS.ORG"|"Y"|""|""|""|""|"2007"|"PA"|"N"|""|""|"4/17/2015 11:25:09 AM"|""|"Patricia"|""|"Cuce"|""|"Female"|"True"
"01-0925282"|"HERO House"|"1728744"|"Y"|"HERO House"|""|"425-614-1282"|""|"14230 NE 21st Street"|""|"Bellevue"|"WA"|"USA"|"98007"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Erica Levine"|"424000.0000"|"03"|"www.herohouse.org"|"Y"|""|""|""|""|"2009"|"WA"|"N"|""|""|"4/17/2015 11:25:18 AM"|""|"Erica"|""|"Levine"|""|"Female"|"True"
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"1728745"|"Y"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|""|"207-756-8375"|""|"36 POLAND ST"|""|"PORTLAND"|"ME"|"USA"|"04103"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"JOHN BROOKS"|"374388.0000"|"05"|"WWW.PORTLANDFIREFIGHTERS.COM"|""|""|"Y"|""|""|"1942"|"ME"|"N"|""|""|"4/17/2015 11:25:28 AM"|""|"John"|""|"Brooks"|""|"Male"|"True"
"01-6017053"|"MAINE MEDICAL EDUCATION FOUNDATION"|"1728746"|"Y"|"MAINE MEDICAL EDUCATION FOUNDATION"|""|"207-622-3374"|""|"PO BOX 190"|""|"MANCHESTER"|"ME"|"USA"|"04351"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"493167.0000"|"03"|""|""|"Y"|""|""|""|"1953"|"ME"|"N"|"N"|""|"4/17/2015 11:25:37 AM"|""|""|""|""|""|""|""
"01-0370716"|"SPURWINKRI"|"1733154"|"Y"|"SPURWINKRI"|""|"401-781-4380"|""|"ONE SPURWINK PLACE"|""|"CRANSTON"|"RI"|"USA"|"02910-2012"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"RAYMOND A ARSENAULT"|"6770616.0000"|"03"|"WWW.SPURWINKRI.ORG"|"Y"|""|""|""|""|"1982"|"RI"|"N"|""|"5573"|"4/20/2015 10:21:35 AM"|""|"Raymond"|"A"|"Arsenault"|""|"Male"|"True"
"01-0635317"|"Hooster Owners and Providers for the Elderly, LLC"|"1733155"|"N"|"Hooster Owners and Providers for the Elderly, LLC"|""|"317-472-0677"|""|"3530 S. Keystone Ave."|"301"|"Indianapolis"|"IN"|"USA"|"46227"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"Robert Decker"|"258985.0000"|"06"|"www.hoosierownersandproviders.org"|"Y"|""|""|""|""|"2002"|"IN"|"N"|""|""|"4/20/2015 10:22:16 AM"|""|"Robert"|""|"Decker"|""|"Male"|"True"
"01-0803117"|"ATRIUS HEALTH INC"|"1733156"|"Y"|"ATRIUS HEALTH INC"|""|"617-559-8181"|""|"275 GROVE STREET"|"3-300"|"NEWTON"|"MA"|"USA"|"02466-2275"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"DANIEL C BURNES"|"27042002.0000"|"03"|"WWW.ATRIUSHEALTH.ORG"|"Y"|""|""|""|""|"2004"|"MA"|"N"|""|""|"4/20/2015 10:22:38 AM"|""|"Daniel"|"C"|"Burnes"|""|"Male"|"True"
"01-0810218"|"LITTLE RIVER CHAMBER OF COMMERCE AND VISITORS CENT"|"1733157"|"Y"|"LITTLE RIVER CHAMBER OF COMMERCE AND VISITORS CENT"|""|""|""|"P O BOX 400"|""|"LITTLE RIVER"|"SC"|"USA"|"29566"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|""|"241197.0000"|"06"|"WWW.LITTLERIVERCHAMBER.ORG"|"Y"|""|""|""|""|"2004"|"SC"|"N"|""|""|"4/20/2015 10:22:56 AM"|""|""|""|""|""|""|""
"01-0750822"|"TMG FOUNDATION"|"1734709"|"N"|"TMG FOUNDATION"|""|"309-747-3556"|""|"202 N. FORD STREET"|""|"GRIDLEY"|"IL"|"USA"|"61744"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"GARY RINGGER"|"491778.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"IL"|"N"|""|""|"4/21/2015 10:14:06 AM"|""|"Gary"|""|"Ringger"|""|"Male"|"True"
"01-0213357"|"DOWN EAST CREDIT UNION"|"1736132"|"Y"|"DOWN EAST CREDIT UNION"|""|"800-427-1223"|""|"PO BOX 130"|""|"BAILEYVILLE"|"ME"|"USA"|"04694"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"DAVID TOZIER"|"7608164.0000"|"14"|"WWW.DOWNEASTCU.COM"|"Y"|""|""|""|""|"2006"|"ME"|"N"|""|""|"4/22/2015 12:52:56 PM"|""|"David"|""|"Tozier"|""|"Male"|"True"
"01-0244457"|"NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY"|"1736133"|"Y"|"NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY"|"SEASHORE TROLLEY MUSEUM"|"207-967-2712"|""|"PO BOX A"|""|"KENNEBUNKPORT"|"ME"|"USA"|"04046"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"CHARLES R SULLIVAN"|"824637.0000"|"03"|"WWW.TROLLEYMUSEUM.ORG"|"Y"|""|""|""|""|"1941"|"ME"|"N"|""|""|"4/22/2015 12:53:04 PM"|""|"Charles"|"R"|"Sullivan"|""|"Male"|"True"
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"1736134"|"Y"|"THREE RIVERS AMBULANCE SERVICE"|""|"207-943-7733"|""|"PO BOX 432"|""|"MILO"|"ME"|"USA"|"04463"|"1/1/2013 12:00:00 AM"|"12/31/2013 12:00:00 AM"|""|""|""|""|""|"TODD LYFORD"|"375048.0000"|"03"|""|"Y"|""|""|""|""|"1972"|"ME"|"N"|""|""|"4/22/2015 12:53:13 PM"|""|"Todd"|""|"Lyford"|""|"Male"|"True"
