"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_OFFICERS"|"VOTING_MEMBERS"|"RELATIONS_CBX"|"DELEGATE_CONTROL_CBX"|"DOC_CHANGES_CBX"|"ASSET_DIVISION_CBX"|"STOCKHOLDERS_CBX"|"GOVERNING_BODY_CBX"|"SUBJECT_APPROVAL_CBX"|"DOCUMENT_MEETINGS_CBX"|"DOCUMENT_COMMITTEE_CBX"|"LOCAL_CHAPTERS_CBX"|"WRITTEN_POLICIES_CBX"|"REVIEW_990_CBX"|"OFFICERS_AT_ORG_ADDESSS_CBX"|"CONFLICT_OF_INTEREST_CBX"|"OFFICERS_DISCLOSE_INTEREST_CBX"|"ENFORCE_COMPLIANCE_CBX"|"WHISTLEBLOWER_POLICY_CBX"|"DOCUMENT_DESTRUCTION_CBX"|"CEO_SALARY_APPROVAL_CBX"|"OFFICERS_SALARY_APPROVAL_CBX"|"JOINT_VENTURE_CBX"|"ENSURE_EXEMPT_STATUS_CBX"|"OWN_WEBSITE_CBX"|"ANOTHER_WEBSITE_CBX"|"UPON_REQUEST_CBX"|"FILING_EXCEPTION"|"STATES_FILED_TEXT"|"SCH_O_VI_CBX"|"OTHER_CBX"
"01-0444523"|"John M Eagleson Jr Institute"|"1200799"|"7"|"7"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0768551"|"ASHLAND COUNTY LIFEWORX INC"|"1200814"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"OH"|"Y"|""
"01-0814995"|"ROTARY SOUTH VALLEY CHARITIES"|"1200816"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"NM"|"Y"|""
"01-0272150"|"Harbor House Community Service Center"|"1204049"|"10"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0342167"|"PHILLIPS-STRICKLAND HOUSE CORP."|"1204050"|"12"|"12"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"1204054"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0369722"|"WAWENOCK GOLF CLUB"|"1204055"|"10"|"10"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"1204056"|"14"|"14"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|""|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0372429"|"Falmouth Conservation Trust"|"1204057"|"15"|"15"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0382451"|"WHITNEY BROOKSIDE CORPORATION"|"1204059"|"4"|"4"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"Y"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0458555"|"SCARBOROUGH FISH & GAME ASSOCIATION"|"1204064"|"947"|"947"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|"Y"|""|"Y"|"None"|""|"Y"|""
"01-0509853"|"PINE CREST DEVELOPMENT CORPORATION DEVELOPMENT CORP"|"1204072"|"4"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0518900"|"THE POPTECH INSTITUTE"|"1204073"|"9"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0530866"|"INSTITUTE FOR HUMANE EDUCATION"|"1204076"|"9"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME OR MA"|"Y"|""
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"1204084"|"6"|"4"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|""|"Y"|"None"|"OH CA MN"|"Y"|""
"01-0637750"|"ARIZONA ADVOCACY NETWORK"|"1204087"|"16"|"16"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"AZ"|"Y"|""
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC FMRLY O L MILLER RESEARCH INSTITUTE"|"1204088"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"NC"|"Y"|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"1204090"|"7"|"7"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0692980"|"PROMISE MINISTRIES"|"1204091"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|""|""
"01-0714863"|"Community Housing Services Cedar Canyon Inc"|"1204096"|"7"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0736882"|"SPORTS GIFT, INC."|"1204097"|"2"|""|"Y"|"N"|"Y"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"1204106"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"1204113"|"8"|"8"|""|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"Y"|"N"|""|""|"N"|"N"|""|""|"N"|""|""|""|"Y"|"None"|"CT"|"Y"|""
"01-6117658"|"Downeast Energy Corp. Health/Dental Plan"|"1212237"|"3"|"3"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"1213297"|"40"|"40"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"1213299"|"17"|"17"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|""|""
"01-0582284"|"COMMUNITY CONNECTIONS INC"|"1213308"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"GA"|"Y"|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB"|"1213310"|"10"|"10"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0679073"|"PARKER COUNTY HEALTH FOUNDATION"|"1213311"|"12"|"12"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"1215298"|"58"|"58"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0723951"|"J C S Band Boosters Inc"|"1215305"|"50"|"50"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|""|""|"N"|""|""|""|""|"None"|"OH"|"Y"|""
"01-0745909"|"Academy For New Musical Theatre"|"1215306"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"CA"|""|""
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"1216576"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-6026691"|"Veterans of Foreign Wars of the 7865 Harvell Bishop Post"|"1217769"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0493055"|"CLUB SEBAGO ASSOCIATION"|"1217818"|"3"|"3"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0882170"|"TOP HOUSE INC"|"1217825"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"MA"|"Y"|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR 20 -101160023840"|"1217826"|"1"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"MA"|"Y"|""
"01-0412269"|"Downeast Family Young Men's Christian Association"|"1219892"|"23"|"23"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0771966"|"Fibromuscular Dysplasia Society of America Inc"|"1219903"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"AA"|"Y"|""
"01-6010068"|"FARMINGTON PUBLIC LIBRARY ASS"|"1219908"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"1221721"|"8"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"NJ"|"Y"|""
"01-0719892"|"ALEXANDER HAMILTON HOME-SCHOOL ASSOCIATION"|"1221726"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|""|"None"|""|"Y"|""
"01-0728178"|"ALVEOLI CORPORATION"|"1221728"|"5"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0833588"|"ALLIANCE RICHARD MERKIN MIDDLE SCHOOL"|"1221731"|"8"|"5"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"CA"|"Y"|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"1221732"|"18"|"18"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"02-0114695"|"CAMP TECUMSEH INC"|"1221733"|"19"|"19"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"NH"|"Y"|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"1224767"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0478281"|"FRIENDS OF FORT KNOX"|"1224772"|"13"|"171"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|"ME"|""|""
"01-0849087"|"Open Space Alliance for North Brooklyn Inc"|"1224777"|"22"|"22"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"NY"|"Y"|""
"01-0953997"|"Beacon of Hope"|"1224778"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0452403"|"DOWNEAST INSTITUTE FOR APPLIED MARINE RESEARCH AND EDUCATION, INC."|"1227499"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"1227769"|"13"|"10"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0434603"|"WOMEN UNLIMITED"|"1227772"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"ME"|""|""
"01-0654320"|"The Lio Mission Inc."|"1227774"|"3"|"3"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|""|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"FL"|"Y"|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"1227777"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"IL"|"Y"|""
"01-0750822"|"TMG FOUNDATION"|"1237240"|"5"|"5"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"IL"|"Y"|""
"01-0386912"|"CENTRAL MAINE COMMUNITY HEALTH CORPORATION"|"1237564"|"4"|"1"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0216933"|"MAINE MEDICAL ASSOCIATION"|"1237826"|"25"|"25"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|"Y"
"01-0425010"|"Camp Runoia Alumnae Organization"|"1237830"|"20"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0465231"|"Norumbega Medical Specialists LTD"|"1240159"|"3"|""|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1240304"|"0"|"0"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0861643"|"PUTNAM LAND CONSERVANCY,INC"|"1240892"|"9"|"9"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"FL"|"Y"|""
"01-0502563"|"CAMP BEECH CLIFF"|"1241170"|"16"|"16"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|""|""
"01-0366464"|"KATAHDIN SHARED SERVICES"|"1241396"|""|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"MN"|"Y"|""
"01-0565782"|"The China Training Networks"|"1241402"|"8"|"8"|""|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|""|"N"|""|""|""|"Y"|"None"|"MO"|""|""
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"1241405"|"6"|"6"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"TN"|"Y"|""
"01-0769341"|"PARENTS OF AUTISTIC CHILDREN OF NORTHERN VIRGINIA"|"1241407"|"7"|"7"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"VA"|"Y"|""
"01-0790641"|"J AUSTIN WHITE CULTURAL CENTER INC"|"1241408"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-6010628"|"MUSEUM OF ART OF OGUNQUIT"|"1241411"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0430751"|"Rosscare Nursing Homes, Inc."|"1243941"|"3"|""|"Y"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-6020406"|"York County Community Action Corporation"|"1243943"|"15"|"15"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"1244175"|"12"|"12"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0596305"|"RESCUEGROUPSORG INC"|"1244176"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"MD"|"Y"|""
"01-0890941"|"LAHAK HANOCHOS INC"|"1244181"|"4"|"1"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|""|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"NY"|"Y"|""
"02-0103705"|"HENRY J SWEENEY POST NO 2, NEW HAMPSHIRE"|"1244182"|""|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|"NH"|"Y"|""
"01-0421234"|"Lakewood A Continuing Care Center"|"1245514"|"12"|"9"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-0730818"|"CIUDAD DE ANGELES INC"|"1246335"|"11"|"10"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"Y"|"Y"|"None"|""|"Y"|""
"01-0493897"|"Sunrise County Economic Council"|"1246700"|"16"|"13"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"1246701"|"19"|"15"|"Y"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"1247316"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"1247318"|"9"|"8"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-0353352"|"NEW MARBLEHEAD SENIORS HOUSING CORP"|"1247320"|"14"|"14"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0360077"|"New Beginnings, Inc."|"1247323"|"10"|"10"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0505695"|"BOSSOV BALLET THEATRE"|"1247324"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
