"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"GRANTS_ORGS_US"|"GRANTS_INDIVIDUALS_US"|"GRANTS_ORGS_NON_US"|"BENEFITS_TOTAL"|"COMPENSATION_CURRENT"|"COMPENSATION_DISQUALIFIED"|"WAGES_TOTAL"|"PENSION_TOTAL"|"EMPLOYEE_BENEFITS_TOTAL"|"PAYROLL_TAX_TOTAL"|"FEES_MANAGEMENT"|"FEES_LEGAL"|"ACCOUNTING_FEES_TOTAL"|"FEES_LOBBYING"|"FUNDRAISING_TOTAL"|"FEES_INVESTMENTS"|"FEES_OTHER"|"ADS_PROMO"|"OFFICE"|"INFO_TECH"|"EXP_ROYALTIES"|"OCCUPANCY_TOTAL"|"TRAVEL_TOTAL"|"ENTERTAIN_OFFICIALS"|"MEETINGS_TOTAL"|"INTEREST_TOTAL"|"PAYMENTS"|"DEPRECIATION_TOTAL"|"INSURANCE"|"EXPENSE_A_TOTAL"|"EXPENSE_B_TOTAL"|"EXPENSE_C_TOTAL"|"EXPENSE_D_TOTAL"|"EXPENSE_E_TOTAL"|"EXPENSES_TOTAL"|"TOTAL_PROGRAM_SERVICES"|"TOTAL_MANAGEMENT"|"TOTAL_FUNDRAISING"|"REPORT_COSTS_CBX"|"JOINT_TOTAL"|"JOINT_SERVICES"|"JOINT_GENERAL"|"JOINT_FUNDRAISING"|"ALL_OTHER_EXPENSES"|"EXPENSE_A_DESC"|"EXPENSE_B_DESC"|"EXPENSE_C_DESC"|"EXPENSE_D_DESC"
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"1494030"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"63524.0000"|"0.0000"|"83505.0000"|"0.0000"|"0.0000"|"12496.0000"|"0.0000"|"578.0000"|"3225.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"48618.0000"|"26503.0000"|"0.0000"|"0.0000"|"0.0000"|"35.0000"|"0.0000"|"0.0000"|"25889.0000"|"0.0000"|"17390.0000"|"27833.0000"|"1084.0000"|"3000.0000"|"3568.0000"|"9673.0000"|""|"327148.0000"|"34925.0000"|"37581.0000"|"0.0000"|""|""|""|""|""|"227.0000"|"COMMUNITY SUPPORT EXPENSE"|"FRENSNEL LENS RAFFLE"|"BANK SERVICE CHARGES"|"REPAIRS & MAINTENANCE"
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"1488173"|""|""|""|""|""|""|"72574.0000"|""|""|"5369.0000"|""|""|"5374.0000"|""|""|""|""|""|"3673.0000"|"797.0000"|""|"14143.0000"|""|""|"156.0000"|""|""|"30625.0000"|"8455.0000"|"9251.0000"|"1156.0000"|""|""|""|"151573.0000"|"139078.0000"|"12495.0000"|""|""|""|""|""|""|""|"LIBRARY PROGRAM"|"REPAIRS"|""|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY MAINE"|"1488174"|""|""|""|""|"25615.0000"|""|"16209.0000"|""|"4006.0000"|"2365.0000"|""|""|"8235.0000"|""|""|""|"1778.0000"|"7275.0000"|"3919.0000"|"350.0000"|""|"21496.0000"|"767.0000"|""|""|"188.0000"|""|"1086.0000"|"5965.0000"|"125334.0000"|"1616.0000"|"807.0000"|"340.0000"|""|"227351.0000"|"189718.0000"|"37633.0000"|"0.0000"|""|""|""|""|""|""|"HOME BUILD COSTS"|"MISCELLANEOUS"|"AUTO EXPENSE"|"BANK FEES"
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"1488175"|""|""|""|""|""|""|"97762.0000"|""|"3229.0000"|"8609.0000"|""|""|"8534.0000"|""|""|""|"2626.0000"|"655.0000"|""|""|""|"14563.0000"|""|""|""|"27033.0000"|""|"15341.0000"|"11026.0000"|"7957.0000"|"7913.0000"|"4456.0000"|"4281.0000"|""|"226239.0000"|"146253.0000"|"75179.0000"|"4807.0000"|""|""|""|""|""|"12254.0000"|"SALES TAX"|"VEHICLE"|"TELEPHONE AND INTERNET"|"BANKING AND CREDIT CARD"
"01-0544468"|"FOUR DIRECTIONS DEVELOPMENT CORPORATION"|"1488176"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"91224.0000"|"0.0000"|"264991.0000"|"0.0000"|"46413.0000"|"29691.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"25974.0000"|"4912.0000"|"0.0000"|"0.0000"|"33907.0000"|"34620.0000"|"0.0000"|"0.0000"|"64247.0000"|"0.0000"|"11602.0000"|"3902.0000"|"19311.0000"|"20350.0000"|"239433.0000"|"302451.0000"|""|"1260138.0000"|"984877.0000"|"275261.0000"|"0.0000"|""|""|""|""|""|"67110.0000"|"LOAN SERVICING FEES"|"TRAINING AND CONFERENCES"|"PROVISION FOR LOAN LOSSES"|"Professional fees"
"01-0327898"|"CORINNA HOUSING CORPORATION"|"1494031"|""|""|""|""|""|""|"13265.0000"|""|""|""|"16860.0000"|""|"6300.0000"|""|""|""|""|""|"2333.0000"|""|""|"93756.0000"|""|""|""|"36041.0000"|""|"36137.0000"|"7831.0000"|""|""|""|""|""|"212523.0000"|"184432.0000"|"28091.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0329792"|"DELTA AMBULANCE"|"1494032"|""|""|""|""|""|""|"3558716.0000"|"74370.0000"|"556964.0000"|"263963.0000"|""|"23239.0000"|"16230.0000"|""|""|""|"33589.0000"|"130919.0000"|"40349.0000"|""|""|"3564.0000"|"27084.0000"|""|""|"95961.0000"|""|"490337.0000"|"179344.0000"|"361812.0000"|"275417.0000"|"102423.0000"|"78966.0000"|""|"6455163.0000"|"5897147.0000"|"558016.0000"|"0.0000"|""|""|""|""|""|"141916.0000"|"REPAIRS & MAINTENANCE"|"GAS & OIL"|"OPPERATING SUPPLIES"|"TELEPHONE & UTILITIES"
"01-0418902"|"UNITED BIKERS OF MAINE"|"1494034"|""|""|""|""|""|""|""|""|""|""|""|""|"1044.0000"|""|""|""|"630.0000"|"750.0000"|"21542.0000"|""|""|"1935.0000"|"2146.0000"|""|""|"29.0000"|""|"1113.0000"|"5048.0000"|"1337.0000"|"799.0000"|"504.0000"|"48.0000"|""|"37861.0000"|""|""|""|""|""|""|""|""|"936.0000"|"CONTRIBUTIONS TO PAC"|"COUNTY BIKE EVENTS"|"GOVERNMENT TEA"|"SWAPMEET"
"01-0440702"|"Arundel Cemetery Caproration"|"1494035"|""|""|""|""|""|""|""|""|""|""|""|""|"1605.0000"|""|""|""|"7983.0000"|"920.0000"|"156.0000"|""|""|""|""|""|""|""|""|""|"2127.0000"|"18055.0000"|"9475.0000"|"1226.0000"|"13571.0000"|""|"57783.0000"|""|""|""|""|""|""|""|""|"2665.0000"|"Care of grounds"|"Burials"|"Water"|"Tree work and tree purchases"
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"1494036"|""|""|""|""|""|""|""|""|""|""|""|""|"338.0000"|""|""|""|""|""|"301.0000"|""|""|""|""|""|""|""|""|""|"361.0000"|"21882.0000"|"714.0000"|"463.0000"|"265.0000"|""|"24324.0000"|"22596.0000"|"1427.0000"|"301.0000"|""|""|""|""|""|""|"LIBRARY PROGRAMS"|"NEWSLETTER"|"ADMIN EXPENSE"|"DUES & FEES"
"01-0537084"|"Maine Huts & Trails"|"1494037"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"363891.0000"|"0.0000"|"0.0000"|"57376.0000"|"6274.0000"|"0.0000"|"9402.0000"|"0.0000"|"8403.0000"|"0.0000"|"0.0000"|"55422.0000"|"0.0000"|"0.0000"|"0.0000"|"31913.0000"|"1944.0000"|"0.0000"|"14.0000"|"69791.0000"|"0.0000"|"195203.0000"|"30233.0000"|"79639.0000"|"10263.0000"|"1234.0000"|"497991.0000"|""|"1434506.0000"|"1426103.0000"|"0.0000"|"8403.0000"|""|""|""|""|""|"15513.0000"|"Trail Maintenance"|"Supplies"|"Vehicle expenses"|"Hut operating expenses"
"01-0562546"|"Shermans Dale Community Fire Co."|"1494038"|""|""|""|""|""|""|""|""|""|""|""|""|"1080.0000"|""|""|"6399.0000"|""|""|""|""|""|"23864.0000"|""|""|""|"5851.0000"|""|""|"15820.0000"|"23416.0000"|"21167.0000"|"7985.0000"|"20.0000"|""|"105602.0000"|"88667.0000"|"9843.0000"|"7092.0000"|""|""|""|""|""|""|"Company supplies"|"Fuel"|"Fire truck repairs"|"Dues"
"01-0562775"|"NJ EMERGENCY PREPAREDNESS ASSN"|"1494039"|""|""|""|""|""|""|""|""|""|""|""|""|"2305.0000"|""|""|""|"1500.0000"|""|"1771.0000"|""|""|""|"669.0000"|""|"213631.0000"|""|""|"1959.0000"|"2905.0000"|"13750.0000"|"2544.0000"|"4233.0000"|"1051.0000"|""|"247452.0000"|"220857.0000"|"26595.0000"|"0.0000"|""|""|""|""|""|"1134.0000"|"ADMINISTRATIVE FEES"|"STORAGE EXPENSES"|"BANK AND CREDIT CARD CHARGES"|"TELEPHONE"
"01-0589514"|"Green Power EMC"|"1494040"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"16643795.0000"|"327685.0000"|"114384.0000"|"148673.0000"|""|"17327651.0000"|"17327651.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"93114.0000"|"Purchased Power"|"Genera& Administrative"|"Additional Services"|"Research & Development"
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORP. INC"|"1494041"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"120.0000"|"0.0000"|"200.0000"|"0.0000"|"0.0000"|"1987.0000"|"0.0000"|"3425.0000"|"0.0000"|"0.0000"|"0.0000"|"2430.0000"|"4122.0000"|"51404.0000"|"1020.0000"|"2444.0000"|""|"67152.0000"|"67152.0000"|""|""|""|""|""|""|""|""|"RENTAL MAINTENANCE"|"RENTAL FINANCING & TAXES"|"LAND SURVEY"|"COMMUNITY OUTREACH"
"01-0638984"|"WEALTH WATCHERS, INC."|"1494042"|""|""|""|""|""|""|"864014.0000"|""|"65550.0000"|"66097.0000"|""|""|"8663.0000"|""|""|""|""|"25134.0000"|"10167.0000"|""|""|""|"22604.0000"|""|"4258.0000"|""|""|"13581.0000"|"22844.0000"|"67683.0000"|"50565.0000"|"42076.0000"|"25030.0000"|""|"1391896.0000"|"1301837.0000"|"90059.0000"|"0.0000"|""|""|""|""|""|"103630.0000"|"PROGRAM EXPENSE"|"REPAIR AND MAINTENANCE"|"CONTRACT SERVICES"|"TELEPHONE EXPENSE"
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"1494043"|""|""|"113624.0000"|""|""|""|""|""|""|""|""|""|"1000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"110.0000"|"432.0000"|""|""|""|"115166.0000"|"113624.0000"|"1542.0000"|""|""|""|""|""|""|"542.0000"|"Filing fee"|"Bank charges"|""|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"1494044"|"127000.0000"|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"800.0000"|"4600.0000"|""|""|""|""|"132400.0000"|"127000.0000"|"5400.0000"|"0.0000"|""|""|""|""|""|""|"PROFESSIONAL FEES"|""|""|""
"01-0853006"|"North Park USBC Youth"|"1494050"|""|""|""|"130.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0855170"|"Catholic Christians Defending Christ & His Church"|"1494051"|"100.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"250.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"159.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"468.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"977.0000"|"643.0000"|"334.0000"|"0.0000"|""|""|""|""|""|"0.0000"|"Printing Layouts"|""|""|""
"01-0717158"|"GEORGETOWN COMMUNITY RESOURCE CENTER"|"1494045"|""|""|""|""|""|""|""|""|""|""|"900.0000"|""|"750.0000"|""|""|""|""|""|"4504.0000"|"870.0000"|""|"179774.0000"|""|""|""|""|""|"5679.0000"|"807.0000"|""|""|""|""|""|"193284.0000"|"193284.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0722133"|"Olmsted Community Center"|"1494046"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"57000.0000"|"0.0000"|"188581.0000"|"0.0000"|"0.0000"|"18901.0000"|"0.0000"|"150.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"260.0000"|"239.0000"|"5952.0000"|"1979.0000"|"0.0000"|"48059.0000"|"0.0000"|"0.0000"|"0.0000"|"11955.0000"|"0.0000"|"19697.0000"|"14396.0000"|"11078.0000"|"9229.0000"|"125499.0000"|"32250.0000"|""|"548123.0000"|"486964.0000"|"61159.0000"|"0.0000"|""|""|""|""|""|"2898.0000"|"Casual Labor"|"Maintenance"|"Program Fees"|"Miscellaneous"
"01-0215213"|"BOWDOIN COLLEGE"|"1497088"|"177000.0000"|"30975000.0000"|"214000.0000"|"0.0000"|"4392000.0000"|"214000.0000"|"60086000.0000"|"5917000.0000"|"8749000.0000"|"4429000.0000"|"0.0000"|"351000.0000"|"341000.0000"|"6900.0000"|"40000.0000"|"425000.0000"|"4594000.0000"|"113000.0000"|"4868000.0000"|"2515000.0000"|"0.0000"|"6608000.0000"|"3297000.0000"|"0.0000"|"1071000.0000"|"12188000.0000"|"0.0000"|"9540000.0000"|"748000.0000"|"4027000.0000"|"2421000.0000"|"2565000.0000"|"970000.0000"|""|"173174000.0000"|"151286000.0000"|"15509000.0000"|"6379000.0000"|""|""|""|""|""|"1332100.0000"|"PURCHASES FOR RESALE"|"LIBRARY MATERIALS"|"FACILITIES MAINT & REPAIR"|"EQP RENTAL,MAINT & REPAIR"
"01-0280225"|"Catholic Chanties Maine"|"1497089"|""|"190760.0000"|""|""|"248945.0000"|""|"13841728.0000"|"70918.0000"|"1716494.0000"|"1141002.0000"|""|"90033.0000"|"75080.0000"|"7000.0000"|""|""|"6116034.0000"|"191230.0000"|"825491.0000"|""|""|"1571297.0000"|"967983.0000"|""|""|"241722.0000"|""|"548401.0000"|"160854.0000"|"527994.0000"|"355096.0000"|"-40865.0000"|""|""|"28847197.0000"|"28626670.0000"|"220527.0000"|"0.0000"|""|""|""|""|""|""|"Miscellaneous"|"Client Assistance"|"Indirect Costs"|""
"01-0376014"|"WOMANCARE/AEGIS ASSOCIATION"|"1497090"|""|""|""|""|"60350.0000"|""|"206688.0000"|"4158.0000"|"51037.0000"|"21164.0000"|"32779.0000"|""|"19998.0000"|""|""|"709.0000"|""|"500.0000"|""|""|""|"33167.0000"|"8540.0000"|""|""|""|""|"20098.0000"|"6221.0000"|"7493.0000"|"5467.0000"|"5009.0000"|"4436.0000"|""|"501120.0000"|"410588.0000"|"67188.0000"|"23344.0000"|""|""|""|""|""|"13306.0000"|"SUPPLIES"|"REPAIRS AND MAINTENANCE"|"TELEPHONE"|"INTERNET FEES"
"01-0582508"|"ST. HOPE PUBLIC SCHOOLS, INC."|"1497091"|""|""|""|""|"207303.0000"|""|"6512684.0000"|"374994.0000"|"876739.0000"|"329735.0000"|""|"95313.0000"|"50744.0000"|""|""|""|"1327339.0000"|"2109.0000"|"78501.0000"|"49348.0000"|""|"1201766.0000"|"83233.0000"|""|"36427.0000"|"114804.0000"|""|"51423.0000"|"210098.0000"|"725149.0000"|"47096.0000"|"6003.0000"|"1240.0000"|""|"12382048.0000"|"9056778.0000"|"3325270.0000"|"0.0000"|""|""|""|""|""|""|"BOOKS & SUPPLIES"|"DUES & FEES"|"BAD DEBT EXPENSE"|"TRAINING"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"1497092"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"420653.0000"|"0.0000"|"21315426.0000"|"1353394.0000"|"1761436.0000"|"1477130.0000"|"0.0000"|"0.0000"|"24461.0000"|"0.0000"|"0.0000"|"0.0000"|"4326893.0000"|"30148.0000"|"1135359.0000"|"52897.0000"|"0.0000"|"626175.0000"|"20652.0000"|"0.0000"|"11562.0000"|"2336525.0000"|"0.0000"|"5172116.0000"|"4111377.0000"|"8695856.0000"|"2590686.0000"|"1376554.0000"|"9291777.0000"|""|"67572082.0000"|"53004753.0000"|"14567329.0000"|"0.0000"|""|""|""|""|""|"1441005.0000"|"BAD DEBT EXPENSE"|"MAINTENANCE EXPENSE"|"MEDICAID SHOPP FEE"|"MEDICAL SUPPLIES"
"02-0223322"|"Currier Museum of Art"|"1497094"|""|"14259.0000"|""|""|"273322.0000"|""|"2021685.0000"|"31039.0000"|"114146.0000"|"163189.0000"|""|"855.0000"|"34850.0000"|""|""|"207550.0000"|"1200.0000"|"128913.0000"|"103437.0000"|"59137.0000"|""|"436112.0000"|"21810.0000"|""|""|"550277.0000"|""|"965354.0000"|"91102.0000"|"4944770.0000"|"282930.0000"|"149095.0000"|"63397.0000"|""|"10701217.0000"|"9297525.0000"|"1047538.0000"|"356154.0000"|""|""|""|""|""|"42788.0000"|"Art works Purchased"|"Exhibitions & Collectio"|"Public Programs/Service"|"Development & Membershi"
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"1497735"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"954439.0000"|"11374.0000"|"118522.0000"|"106100.0000"|""|"1991.0000"|"4600.0000"|"0.0000"|"0.0000"|"0.0000"|"3142.0000"|"0.0000"|"26763.0000"|"13143.0000"|"0.0000"|"179136.0000"|"1070.0000"|"0.0000"|"0.0000"|"7637.0000"|"0.0000"|"159072.0000"|"16437.0000"|"225300.0000"|"14834.0000"|"85091.0000"|"52329.0000"|""|""|""|""|""|""|"1980982.0000"|""|""|""|""|"Tennis Expenses"|"Clubhouse Expenses"|"Bar/Gril & Old Club Restaurant Expenses"|"All other expenses"
"01-0693025"|"GILLOURY INSTITUTE"|"1497736"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"128373.0000"|"0.0000"|"76923.0000"|"0.0000"|"0.0000"|"57961.0000"|"157345.0000"|"4631.0000"|"13051.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"34197.0000"|"9071.0000"|"20846.0000"|"5425.0000"|"44327.0000"|"42175.0000"|"0.0000"|"0.0000"|"813.0000"|"0.0000"|"19161.0000"|"15120.0000"|"5587.0000"|"18274.0000"|"1346.0000"|"8097.0000"|""|"732940.0000"|"594845.0000"|"128109.0000"|"9986.0000"|""|""|""|""|""|"70217.0000"|"DUES & SUBSCRIPTION"|"PRINTING & REPRODUCTION"|"POSTAGE & DELIVERY"|"MISCELLANEOUS"
"01-0792511"|"HIGH WAY EDUCATION INC."|"1497738"|""|""|""|""|""|""|"47450.0000"|""|""|"4122.0000"|""|"961.0000"|"1277.0000"|""|""|""|"1105.0000"|""|"2233.0000"|""|""|"80733.0000"|"845.0000"|""|"9624.0000"|""|""|""|"2656.0000"|"1120.0000"|"2017.0000"|"1820.0000"|"349.0000"|""|""|""|""|""|""|"156772.0000"|"9624.0000"|"147148.0000"|""|"460.0000"|"Telephone"|"Books,subscription,reference"|"Bank Sevice charge"|"License Dues and Permits"
"01-0838125"|"SAFE FAMILY MINISTIRES"|"1497739"|""|""|""|""|""|""|"14755.0000"|""|""|""|""|"70.0000"|""|""|""|""|""|""|"3719.0000"|""|""|"60092.0000"|""|""|""|"38284.0000"|""|""|"14235.0000"|"121.0000"|"896.0000"|""|""|""|"132172.0000"|"132172.0000"|""|""|""|""|""|""|""|""|"BANK CHARGES"|"FIRE ALARM MONITORING"|""|""
"01-0857925"|"Saugus Plaza Funding Company"|"1497740"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1619624.0000"|""|""|""|""|"1619624.0000"|""|""|""|""|""|""|""|""|""|"Distributions-pension trust shareholders"|""|""|""
"02-0199215"|"UKRAINIAN- AMERICAN CITIZENS CLUB"|"1497742"|""|""|""|""|""|""|"29310.0000"|""|""|"2478.0000"|""|""|"3850.0000"|""|""|""|""|"1270.0000"|"1652.0000"|""|""|"38219.0000"|""|""|""|""|""|""|"7895.0000"|"64791.0000"|"15502.0000"|""|""|""|"164967.0000"|"164967.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"CLUB COSTS OF SALES"|"SALES TAXES"|""|""
"02-0225721"|"AMERICAN LEGION RICCIARDI-HARTSHORN POST 23"|"1497744"|"16828.0000"|""|""|""|""|""|"89277.0000"|""|""|"637.0000"|""|""|""|""|""|""|""|""|"12115.0000"|""|""|"38032.0000"|""|""|""|""|"3905.0000"|"1866.0000"|"23394.0000"|""|""|""|"15134.0000"|""|"217859.0000"|"89277.0000"|"25755.0000"|"6050.0000"|""|""|""|""|""|"16671.0000"|"MISC"|"STATE TAX"|"NH REVENUE TAX"|"R&M TAX"
"01-0221344"|"BRIDGTON ACADEMY"|"1499486"|"46548.0000"|"1966840.0000"|""|""|"183297.0000"|""|"2417695.0000"|"122032.0000"|"345547.0000"|"197299.0000"|""|"14197.0000"|"20500.0000"|""|""|"17278.0000"|"176833.0000"|"1825.0000"|"25282.0000"|""|""|"475242.0000"|""|""|"172242.0000"|"85252.0000"|""|"417244.0000"|"56770.0000"|"565881.0000"|"321384.0000"|"259002.0000"|"125465.0000"|""|"8269305.0000"|"5134862.0000"|"2782978.0000"|"351465.0000"|""|""|""|""|""|"255650.0000"|"FOOD SERVICE"|"MISCELLANEOUS"|"EQUIPMENT REPAIR & MAIN"|"BAD DEBT EXPENSE"
"02-0222111"|"Trustees of Dartmouth College"|"1499487"|"224045.0000"|"134714482.0000"|"3586648.0000"|""|"5853501.0000"|"2041617.0000"|"403023277.0000"|"26348824.0000"|"18608071.0000"|"23049343.0000"|"347687.0000"|"1500149.0000"|"687099.0000"|"83251.0000"|""|"7437786.0000"|"96772810.0000"|"2104500.0000"|"21895956.0000"|"13041200.0000"|"616554.0000"|"46780782.0000"|"27339463.0000"|""|"2126109.0000"|"47112621.0000"|""|"58229501.0000"|"1454517.0000"|"38237455.0000"|"19826844.0000"|"11636442.0000"|"7141219.0000"|""|"1021821753.0000"|"890171069.0000"|"99851135.0000"|"31799549.0000"|""|""|""|""|""|""|"Other expenses"|"Purchase for resale"|"Books & media"|"Non Cap Equipment"
"01-0227132"|"LE PARESSEUX INC"|"1499912"|""|""|""|""|"6475.0000"|"22452.0000"|""|""|""|"2647.0000"|""|""|"800.0000"|""|""|""|""|""|"4041.0000"|"4210.0000"|""|"36157.0000"|""|""|""|""|""|"2729.0000"|"1763.0000"|"8207.0000"|"75.0000"|"11879.0000"|""|""|"101435.0000"|"101435.0000"|""|""|""|""|""|""|""|""|"TAXES"|"DONATIONS"|"UTILITIES"|""
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"1499913"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0603034"|"Rural Health Collaborative of Southern Ohio Inc"|"1499914"|"90000.0000"|""|""|""|""|""|""|""|""|""|""|"200.0000"|"5506.0000"|""|""|""|""|""|"64.0000"|""|""|"64663.0000"|""|""|""|""|""|"51174.0000"|"3111.0000"|"212.0000"|""|""|""|""|"214930.0000"|"206037.0000"|"8893.0000"|""|""|""|""|""|""|""|"Bank Charges"|""|""|""
"01-0751931"|"UTAH BUSINESS LENDING CORPORATION"|"1499915"|""|""|""|""|"69060.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|"9751.0000"|""|""|"6120.0000"|""|""|""|"17393.0000"|""|""|""|"2475.0000"|"8871.0000"|""|""|""|""|""|""|""|""|"113670.0000"|"113670.0000"|""|""|""|"INSURANCE"|"OTHER"|""|""
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"1499916"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"180.0000"|"750.0000"|""|""|""|""|""|""|""|""|""|""|"14666.0000"|"3394.0000"|"885.0000"|"650.0000"|""|"21240.0000"|"21240.0000"|""|""|""|""|""|""|""|"715.0000"|"OFFICE RENTAL"|"UTILITIES"|"INSTRUMENT"|"SCHOOL EXPENSES"
"02-0185330"|"Rochester Agncultural and Mechanical Assn."|"1499917"|""|""|""|""|"30000.0000"|"53113.0000"|""|""|""|"7113.0000"|""|""|"3775.0000"|""|""|""|""|"36033.0000"|"15261.0000"|""|""|""|""|""|""|"25962.0000"|""|"40145.0000"|"32958.0000"|"54102.0000"|"4298.0000"|"15886.0000"|"3380.0000"|""|"771069.0000"|"771069.0000"|""|""|""|""|""|""|""|""|"Premium and awards"|"Vehicle expense"|"Dumping fees"|"Superintendent supplies"
"01-0217234"|"BIDDEFORD POOL YACHT CLUB"|"1501986"|""|""|""|""|""|""|"94992.0000"|""|""|"10030.0000"|""|""|"1940.0000"|""|""|""|"3176.0000"|""|"3942.0000"|""|""|"63063.0000"|""|""|""|""|""|"40548.0000"|"6072.0000"|"35468.0000"|"11000.0000"|"10055.0000"|"6419.0000"|""|"301001.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"14296.0000"|"BOAT MAINTENANCE"|"YACHT SERVICE"|"SOCIAL FUNCTIONS"|"MISCELLANEOUS"
"01-0705428"|"Ukrainian Ministry, Inc."|"1501987"|""|""|""|""|"142536.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"195759.0000"|"42515.0000"|"10709.0000"|""|""|""|""|""|""|""|"State Fees"|"Phone Expenses"|"Bank Charges, wiring costs"|"Printing (business cards)"
"01-0731740"|"Irene's Christian Academy, Inc"|"1501988"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"59953.0000"|"0.0000"|"0.0000"|"1971.0000"|"1508.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"7717.0000"|"0.0000"|"0.0000"|"36000.0000"|"1400.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2200.0000"|"9851.0000"|"16500.0000"|"12068.0000"|"8987.0000"|"18099.0000"|""|"186672.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"10419.0000"|"New Equipment, computers / playground etc"|"Auto repairs/maintenance"|"Auto loan repayment"|"Food and gas"
"01-0773840"|"Syracuse Community Center Inc"|"1501989"|""|""|""|""|""|""|""|""|""|""|""|""|"1100.0000"|""|""|""|""|"25.0000"|"808.0000"|""|""|"15219.0000"|""|""|""|""|""|"24254.0000"|""|"1030.0000"|"520.0000"|"297.0000"|"280.0000"|""|"44075.0000"|"15516.0000"|"4305.0000"|"0.0000"|""|""|""|""|""|"542.0000"|"Supplies"|"Equipment Rental"|"Charitable Contribution"|"Licenses"
